"item","max.factor","max.value"
"song",5,-0.0169060065327796
"famous",5,-0.0168630129498748
"controversi",5,-0.0168397676956578
"modern",5,-0.0167990769021725
"behindthescen",5,-0.0165115629003994
"part",5,-0.0163443116302936
"famili",6,-0.637615075178906
"children",6,-0.295943479122535
"new",6,-0.1981091519708
"friend",6,-0.159589623238441
"young",6,-0.119559457670122
"home",6,-0.107286248730754
"kid",6,-0.102481423747045
"school",6,-0.101889624861085
"help",6,-0.0958205844177096
"father",6,-0.0756725497617606
"two",6,-0.0669702457046173
"teen",6,-0.0638091309975592
"high",6,-0.0627936055950374
"girl",6,-0.0626043845912927
"boy",6,-0.0620660282281016
"becom",6,-0.0564331277719799
"teenag",6,-0.0562361694766842
"secret",6,-0.0516937985128216
"tri",6,-0.0496755017272719
"mother",6,-0.0491418156304672
"town",6,-0.047412150472594
"return",6,-0.0456165990496536
"move",6,-0.0427903470145767
"christma",6,-0.039711486948449
"york",6,-0.0395217070970495
"magic",6,-0.0392614798841085
"parent",6,-0.0392328589647278
"yearold",6,-0.0391185700925439
"son",6,-0.0389230946015342
"togeth",6,-0.0385736534809885
"brother",6,-0.0374544811513223
"come",6,-0.0355919176621493
"back",6,-0.0351486353449171
"struggl",6,-0.0340859363888276
"sister",6,-0.0337809316552147
"begin",6,-0.0329226249373787
"plan",6,-0.0327097601325007
"time",6,-0.0324755135484539
"face",6,-0.0311372112819498
"start",6,-0.0308110408285736
"littl",6,-0.0291644037427919
"away",6,-0.0269982896626397
"can",6,-0.0263696786268222
"hous",6,-0.026361345825669
"search",6,-0.025526433964327
"old",6,-0.0249331014977037
"monster",6,-0.0241184137906427
"holiday",6,-0.0239483174139949
"day",6,-0.0223158063006236
"will",6,-0.0221253956640465
"sibl",6,-0.0219232977715324
"navig",6,-0.0213202178195461
"threaten",6,-0.0207058669767804
"leav",6,-0.020502003611527
"now",6,-0.0204693157842461
"dog",6,-0.0204184374285693
"run",6,-0.0201494696619752
"challeng",6,-0.0191972660886751
"small",6,-0.0183549854752472
"head",6,-0.0182143827011581
"friendship",6,-0.0181801067210177
"place",6,-0.0179532470060659
"bond",6,-0.0178351776377042
"die",6,-0.0177906510110922
"lost",6,-0.0170888281513013
"summer",6,-0.0167373432946888
"miss",6,-0.016635978768637
"spend",6,-0.0164651323397317
