Position,Points,Name,Known.For,Birth.Date,Wiki_Name
136,29869,Viggo Mortensen,The Lord of the Rings: The Return of the King,20/10/1958,Viggo_Mortensen
137,29786,Timothy Spall,Mr. Turner,27/02/1957,Timothy_Spall
138,29732,Franco Nero,John Wick: Chapter 2,23/11/1941,Franco_Nero
139,29673,David Oyelowo,Selma,01/04/1976,David_Oyelowo
140,29623,Ving Rhames,Pulp Fiction,12/05/1959,Ving_Rhames
141,29255,Ben Whishaw,The Lobster,14/10/1980,Ben_Whishaw
142,29229,David Strathairn,"Good Night, and Good Luck.",26/01/1949,David_Strathairn
143,29135,John Cleese,A Fish Called Wanda,27/10/1939,John_Cleese
144,28981,Giovanni Ribisi,Boiler Room,17/12/1974,Giovanni_Ribisi
145,28981,Michael Keaton,Birdman or (The Unexpected Virtue of Ignorance),05/09/1951,Michael_Keaton
146,28927,Elijah Wood,The Lord of the Rings: The Fellowship of the Ring,28/01/1981,Elijah_Wood
147,28821,Don Johnson,Miami Vice,15/12/1949,Don_Johnson
148,28789,Domhnall Gleeson,Frank,12/05/1983,Domhnall_Gleeson
149,28737,Christopher Walken,The Deer Hunter,31/03/1943,Christopher_Walken
150,28721,Kevin Bacon,Footloose,08/07/1958,Kevin_Bacon
151,28628,Tommy Lee Jones,The Fugitive,15/09/1946,Tommy_Lee_Jones
152,28323,Tom Berenger,Inception,31/05/1949,Tom_Berenger
153,28131,Jeff Daniels,The Squid and the Whale,19/02/1955,Jeff_Daniels
154,27692,Ray Liotta,Goodfellas,18/12/1954,Ray_Liotta
155,27299,Michael J. Fox,Back to the Future,09/06/1961,Michael_J._Fox
156,27206,James Caan,The Godfather,26/03/1940,James_Caan
157,27016,Michael Sheen,Masters of Sex,05/02/1969,Michael_Sheen
158,26949,Sam Shepard,August: Osage County,05/11/1943,Sam_Shepard
159,26905,Gene Hackman,The French Connection,30/01/1930,Gene_Hackman
160,26663,J.K. Simmons,Whiplash,09/01/1955,J.K._Simmons
161,26047,Rutger Hauer,Hobo with a Shotgun,23/01/1944,Rutger_Hauer
162,25874,Kurt Russell,The Hateful Eight,17/03/1951,Kurt_Russell
163,25868,Jon Voight,Midnight Cowboy,29/12/1938,Jon_Voight
164,25324,Alan Arkin,Argo,26/03/1934,Alan_Arkin
165,25215,Val Kilmer,The Doors,31/12/1959,Val_Kilmer
166,25155,Christian Berkel,The Man from U.N.C.L.E.,28/10/1957,Christian_Berkel
167,24823,Bill Paxton,Aliens,17/05/1955,Bill_Paxton
168,24265,Mel Gibson,Braveheart,03/01/1956,Mel_Gibson
169,24198,Albert Finney,Erin Brockovich,09/05/1936,Albert_Finney
170,24113,John Malkovich,Being John Malkovich,09/12/1953,John_Malkovich
171,24039,James Stewart,Anatomy of a Murder,20/05/1908,James_Stewart
172,23997,Andy Garcia,Ocean's Eleven,12/04/1956,Andy_Garcia
173,23458,Simon Pegg,Shaun of the Dead,14/02/1970,Simon_Pegg
174,23437,Nicolas Cage,Face/Off,07/01/1964,Nicolas_Cage
175,23300,Vincent Cassel,L'ennemi public n°1,23/11/1966,Vincent_Cassel
176,22887,Danny Aiello,Do the Right Thing,20/06/1933,Danny_Aiello
177,22740,Terrence Howard,Crash,11/03/1969,Terrence_Howard
178,22667,William Hurt,A History of Violence,20/03/1950,William_Hurt
179,22548,John Lithgow,The World According to Garp,19/10/1945,John_Lithgow
180,22373,Steve Carell,The Office,16/08/1962,Steve_Carell
181,22331,Alec Guinness,The Bridge on the River Kwai,02/04/1914,Alec_Guinness
182,22319,Clive Owen,Children of Men,03/10/1964,Clive_Owen
183,21773,Danny Huston,The Constant Gardener,14/05/1962,Danny_Huston
184,21744,John Turturro,Barton Fink,28/02/1957,John_Turturro
185,21725,Richard Conte,The Godfather,24/03/1910,Richard_Conte
186,21672,Hugh Grant,Love Actually,09/09/1960,Hugh_Grant
187,21640,Nick Nolte,Warrior,08/02/1941,Nick_Nolte
188,21202,Jim Broadbent,Moulin Rouge!,24/05/1949,Jim_Broadbent
189,21190,Jeff Goldblum,Jurassic Park,22/10/1952,Jeff_Goldblum
190,21157,Michael Nyqvist,John Wick,08/11/1960,Michael_Nyqvist
191,21126,Joel Edgerton,The Gift,23/06/1974,Joel_Edgerton
192,20987,David Carradine,Kill Bill: Vol. 2,08/12/1936,David_Carradine
193,20980,Kevin Costner,The Postman,18/01/1955,Kevin_Costner
194,20893,Jason Statham,Crank,26/07/1967,Jason_Statham
195,20619,Emile Hirsch,Into the Wild,13/03/1985,Emile_Hirsch
196,20483,Daniel Radcliffe,Harry Potter and the Deathly Hallows - Part 2,23/07/1989,Daniel_Radcliffe
197,20483,Rupert Grint,Harry Potter and the Sorcerer's Stone,24/08/1988,Rupert_Grint
198,20458,Shia LaBeouf,Honey Boy,11/06/1986,Shia_LaBeouf
