Position,Points,Name,Known.For,Birth.Date,Wiki_Name
718,945,Lily Franky,Manbiki kazoku,04/11/1963,Lily_Franky
719,933,Hugo Silva,El cuerpo,10/05/1977,Hugo_Silva
720,927,Jim Brown,Mars Attacks!,17/02/1936,Jim_Brown
721,927,Rob Morrow,Northern Exposure,21/09/1962,Rob_Morrow
722,926,Jun Kunimura,Kill Bill: Vol. 1,16/11/1955,Jun_Kunimura
723,921,Richard Basehart,Moby Dick,31/08/1914,Richard_Basehart
724,908,Adarsh Gourav,The White Tiger,08/07/1994,Adarsh_Gourav
725,908,Rajkummar Rao,Shahid,31/08/1984,Rajkummar_Rao
726,906,Michael B. Jordan,Black Panther,09/02/1987,Michael_B._Jordan
727,900,Federico Luppi,Cronos,23/02/1934,Federico_Luppi
728,894,Luis Tosar,Celda 211,13/10/1971,Luis_Tosar
729,889,Lazar Ristovski,Underground,26/10/1952,Lazar_Ristovski
730,884,Giuseppe Battiston,Perfetti sconosciuti,22/07/1968,Giuseppe_Battiston
731,884,Marco Giallini,Perfetti sconosciuti,04/04/1963,Marco_Giallini
732,877,Lew Ayres,Holiday,28/12/1908,Lew_Ayres
733,871,William Baldwin,Backdraft,21/02/1963,William_Baldwin
734,869,Peter Falk,Columbo,16/09/1927,Peter_Falk
735,862,Stephan James,Race,16/12/1993,Stephan_James
736,862,Taylor Kitsch,X-Men Origins: Wolverine,08/04/1981,Taylor_Kitsch
737,861,Klaus Maria Brandauer,Out of Africa,22/06/1943,Klaus_Maria_Brandauer
738,860,Tom Courtenay,45 Years,25/02/1937,Tom_Courtenay
739,860,William Petersen,CSI: Crime Scene Investigation,21/02/1953,William_Petersen
740,840,Nigel Hawthorne,The Madness of King George,05/04/1929,Nigel_Hawthorne
741,837,Werner Krauss,Das Cabinet des Dr. Caligari,1884-06-23,Werner_Krauss
742,830,Aras Bulut Iynemli,Çukur,25/08/1990,Aras_Bulut_Iynemli
743,828,James Frecheville,Black '47,03/05/1991,James_Frecheville
744,819,Jonathan Majors,Lovecraft Country,07/09/1989,Jonathan_Majors
745,818,Dean Martin,The Dean Martin Show,07/06/1917,Dean_Martin
746,817,Ulrich Mühe,Das Leben der Anderen,20/06/1953,Ulrich_Mühe
747,814,Yutaka Matsushige,Shinobi,19/01/1963,Yutaka_Matsushige
748,808,Fredric March,Dr. Jekyll and Mr. Hyde,1897-08-31,Fredric_March
749,808,George O'Brien,Sunrise: A Song of Two Humans,1899-04-19,George_O'Brien
750,799,Samuel Le Bihan,Le pacte des loups,02/11/1965,Samuel_Le_Bihan
751,799,Jérémie Renier,In Bruges,06/01/1981,Jérémie_Renier
752,792,Paul Scofield,A Man for All Seasons,21/01/1922,Paul_Scofield
753,789,Dennis Weaver,Touch of Evil,04/06/1924,Dennis_Weaver
754,785,Gastón Pauls,Nueve reinas,17/01/1972,Gastón_Pauls
755,760,Zbigniew Zamachowski,Trois couleurs: Blanc,17/07/1961,Zbigniew_Zamachowski
756,760,Janusz Gajos,Trois couleurs: Blanc,23/09/1939,Janusz_Gajos
757,760,Jerzy Stuhr,Historie milosne,18/04/1947,Jerzy_Stuhr
758,756,Udo Kier,Hunters,,Udo_Kier
759,738,Bruce Davison,X-Men,28/06/1946,Bruce_Davison
760,738,Fred Ward,Short Cuts,30/12/1942,Fred_Ward
761,738,Chris Penn,Reservoir Dogs,10/10/1965,Chris_Penn
762,738,Peter Gallagher,American Beauty,19/08/1955,Peter_Gallagher
763,732,Helmut Griem,Cabaret,06/04/1932,Helmut_Griem
764,730,Jean Rochefort,L'homme du train,29/04/1930,Jean_Rochefort
765,729,Kim Yoon-seok,Chugyeokja,21/01/1968,Kim_Yoon-seok
766,728,Herbert Lom,The Pink Panther Strikes Again,11/09/1917,Herbert_Lom
767,727,Hidetoshi Nishijima,Doraibu mai kâ,29/03/1971,Hidetoshi_Nishijima
768,714,Antoine Olivier Pilon,Mommy,23/06/1997,Antoine_Olivier_Pilon
769,713,David Warner,Star Trek VI: The Undiscovered Country,29/07/1941,David_Warner
770,711,Chishû Ryû,Tôkyô monogatari,13/05/1904,Chishû_Ryû
771,709,David Keith,An Officer and a Gentleman,08/05/1954,David_Keith
772,706,The Marx Brothers,Duck Soup,,The_Marx_Brothers
773,700,Paul Hogan,Crocodile Dundee,08/10/1939,Paul_Hogan
774,695,Jakob Cedergren,Den skyldige,10/01/1973,Jakob_Cedergren
775,695,Hee Jae,Bin-jip,25/05/1980,Hee_Jae
776,683,Michael Rennie,The Day the Earth Stood Still,25/08/1909,Michael_Rennie
777,682,Sam Claflin,The Hunger Games: Catching Fire,27/06/1986,Sam_Claflin
778,676,Jason Mitchell,Straight Outta Compton,05/01/1987,Jason_Mitchell
779,658,Chino Darín,Muerte en Buenos Aires,14/01/1989,Chino_Darín
780,658,Javier Gutiérrez,La isla mínima,17/01/1971,Javier_Gutiérrez
781,658,Álvaro Morte,La casa de papel,23/02/1975,Álvaro_Morte
782,646,John Hannah,Four Weddings and a Funeral,23/04/1962,John_Hannah
783,646,John Lynch,Black Death,26/12/1961,John_Lynch
784,645,Hayden Christensen,Star Wars: Episode III - Revenge of the Sith,19/04/1981,Hayden_Christensen
785,640,Michael Redgrave,The Lady Vanishes,20/03/1908,Michael_Redgrave
786,639,Yves Montand,Jean de Florette,13/10/1921,Yves_Montand
787,635,Birol Ünel,Gegen die Wand,18/08/1961,Birol_Ünel
788,635,Kevin Zegers,Transamerica,19/09/1984,Kevin_Zegers
789,629,David Duchovny,The X Files,07/08/1960,David_Duchovny
790,627,Louis Jourdan,Gigi,19/06/1921,Louis_Jourdan
791,625,Anthony Quayle,Lawrence of Arabia,07/09/1913,Anthony_Quayle
792,616,Johan Heldenbergh,The Broken Circle Breakdown,11/05/1967,Johan_Heldenbergh
793,612,Robert Donat,The 39 Steps,18/03/1905,Robert_Donat
794,607,Jonathan Majors,Lovecraft Country,07/09/1989,Jonathan_Majors
795,607,Tadanobu Asano,Mongol,27/11/1973,Tadanobu_Asano
796,603,Stuart Whitman,The Comancheros,01/02/1928,Stuart_Whitman
797,601,Dirk Bogarde,The Servant,28/03/1921,Dirk_Bogarde
798,600,Max Irons,Condor,17/10/1985,Max_Irons
799,600,Franz Rogowski,Transit,02/02/1986,Franz_Rogowski
800,598,Bela Lugosi,Dracula,1882-10-20,Bela_Lugosi
801,595,Andreas Wilson,Ondskan,07/03/1981,Andreas_Wilson
802,595,Henrik Lundström,Bron/Broen,13/12/1983,Henrik_Lundström
803,593,Vincent Gallo,Buffalo '66,11/04/1961,Vincent_Gallo
804,589,Errol Flynn,The Adventures of Robin Hood,20/06/1909,Errol_Flynn
805,589,Basil Rathbone,The Adventures of Robin Hood,1892-06-13,Basil_Rathbone
806,589,Claes Bang,The Square,28/04/1967,Claes_Bang
807,589,Kim Kap-su,"Janghwa, Hongryeon",07/04/1957,Kim_Kap-su
808,588,Alain Delon,Le Samouraï,08/11/1935,Alain_Delon
809,584,Clifton Webb,Laura,1889-11-19,Clifton_Webb
810,584,Vincent Price,The Abominable Dr. Phibes,27/05/1911,Vincent_Price
811,584,Karra Elejalde,Los cronocrímenes,10/10/1960,Karra_Elejalde
812,581,Cliff Robertson,Spider-Man,09/09/1923,Cliff_Robertson
813,572,Mikkel Boe Følsgaard,En kongelig affære,01/05/1984,Mikkel_Boe_Følsgaard
814,571,Dawid Ogrodnik,Cicha noc,15/06/1986,Dawid_Ogrodnik
815,570,Matthew Davis,Legally Blonde,08/05/1978,Matthew_Davis
816,564,Michel Piccoli,Le mépris,27/12/1925,Michel_Piccoli
817,563,Pål Sverre Hagen,Kon-Tiki,06/11/1980,Pål_Sverre_Hagen
818,563,Anders Baasmo,Kon-Tiki,29/01/1976,Anders_Baasmo
819,560,Wotan Wilke Möhring,Pandorum,23/05/1967,Wotan_Wilke_Möhring
820,558,Jamie Dornan,The Fall,01/05/1982,Jamie_Dornan
821,557,Paul Mescal,Aftersun,02/02/1996,Paul_Mescal
822,554,Harry Belafonte,Bobby,01/03/1927,Harry_Belafonte
823,546,Thierry Lhermitte,Le dîner de cons,24/11/1952,Thierry_Lhermitte
824,546,Jacques Villeret,Le dîner de cons,06/02/1951,Jacques_Villeret
825,544,Jon Finch,Frenzy,02/03/1942,Jon_Finch
826,538,Nigel Terry,Excalibur,15/08/1945,Nigel_Terry
827,536,Jean-Marc Barr,Le grand bleu,27/09/1960,Jean-Marc_Barr
828,536,Tom Payne,Prodigal Son,21/12/1982,Tom_Payne
829,536,Olivier Martinez,Unfaithful,12/01/1966,Olivier_Martinez
830,533,Peter Simonischek,Toni Erdmann,06/08/1946,Peter_Simonischek
831,531,Lars Eidinger,Clouds of Sils Maria,21/01/1976,Lars_Eidinger
832,527,Asier Etxeandia,Dolor y gloria,27/06/1975,Asier_Etxeandia
833,522,Matt Smith,Doctor Who,28/10/1982,Matt_Smith
834,515,Edmund Gwenn,Miracle on 34th Street,1877-09-26,Edmund_Gwenn
835,515,John Payne,Miracle on 34th Street,28/05/1912,John_Payne
836,508,Richie Merritt,White Boy Rick,,Richie_Merritt
837,507,Oliver Masucci,Fantastic Beasts: The Secrets of Dumbledore,06/12/1968,Oliver_Masucci
838,507,Christoph Maria Herbst,Stromberg,09/02/1966,Christoph_Maria_Herbst
839,504,Raf Vallone,The Italian Job,17/02/1916,Raf_Vallone
840,502,Jan Josef Liefers,Tatort,08/08/1964,Jan_Josef_Liefers
1,70488,Jennifer Lawrence,The Hunger Games,15/08/1990,Jennifer_Lawrence
2,64117,Natalie Portman,Black Swan,09/06/1981,Natalie_Portman
3,63550,Julianne Moore,Far from Heaven,03/12/1960,Julianne_Moore
4,57521,Robin Wright,Beowulf,08/04/1966,Robin_Wright
5,57412,Cate Blanchett,Carol,14/05/1969,Cate_Blanchett
6,56731,Anne Hathaway,Les Misérables,12/11/1982,Anne_Hathaway
7,55581,Kate Winslet,Titanic,05/10/1975,Kate_Winslet
8,54709,Talia Shire,Rocky,25/04/1946,Talia_Shire
9,52796,Diane Keaton,Annie Hall,05/01/1946,Diane_Keaton
10,52174,Léa Seydoux,La vie d'Adèle,01/07/1985,Léa_Seydoux
11,50689,Keira Knightley,Pirates of the Caribbean: The Curse of the Black Pearl,26/03/1985,Keira_Knightley
12,50584,Uma Thurman,Kill Bill: Vol. 1,29/04/1970,Uma_Thurman
13,49295,Marion Cotillard,La Môme,30/09/1975,Marion_Cotillard
14,48093,Scarlett Johansson,Lost in Translation,22/11/1984,Scarlett_Johansson
15,47837,Jessica Chastain,Zero Dark Thirty,24/03/1977,Jessica_Chastain
16,47662,Amy Adams,Arrival,20/08/1974,Amy_Adams
17,47201,Helena Bonham Carter,Sweeney Todd: The Demon Barber of Fleet Street,26/05/1966,Helena_Bonham_Carter
18,44087,Vera Farmiga,Up in the Air,06/08/1973,Vera_Farmiga
19,43263,Meryl Streep,Out of Africa,22/06/1949,Meryl_Streep
20,42826,Jodie Foster,The Silence of the Lambs,19/11/1962,Jodie_Foster
21,42054,Tilda Swinton,We Need to Talk About Kevin,05/11/1960,Tilda_Swinton
22,41787,Maggie Gyllenhaal,Secretary,16/11/1977,Maggie_Gyllenhaal
23,39829,Sandra Bullock,The Proposal,26/07/1964,Sandra_Bullock
24,39032,Gwyneth Paltrow,Shakespeare in Love,27/09/1972,Gwyneth_Paltrow
25,38115,Frances McDormand,"Three Billboards Outside Ebbing, Missouri",23/06/1957,Frances_McDormand
26,37977,Winona Ryder,Little Women,29/10/1971,Winona_Ryder
27,37156,Sigourney Weaver,Avatar,08/10/1949,Sigourney_Weaver
28,36874,Carrie-Anne Moss,The Matrix,21/08/1967,Carrie-Anne_Moss
29,36855,Toni Collette,About a Boy,01/11/1972,Toni_Collette
30,36564,Jennifer Connelly,A Beautiful Mind,12/12/1970,Jennifer_Connelly
31,36468,Judi Dench,Skyfall,09/12/1934,Judi_Dench
32,35247,Julia Roberts,Pretty Woman,28/10/1967,Julia_Roberts
33,34656,Melissa Leo,The Fighter,14/09/1960,Melissa_Leo
34,34017,Carrie Fisher,Star Wars,21/10/1956,Carrie_Fisher
35,33874,Elizabeth Banks,The Hunger Games,10/02/1974,Elizabeth_Banks
36,33270,Amanda Plummer,Pulp Fiction,23/03/1957,Amanda_Plummer
37,33172,Naomie Harris,Moonlight,06/09/1976,Naomie_Harris
38,31969,Rebecca Hall,Vicky Cristina Barcelona,03/05/1982,Rebecca_Hall
39,31836,Emma Stone,La La Land,06/11/1988,Emma_Stone
40,31821,Juno Temple,Atonement,21/07/1989,Juno_Temple
41,31640,Sally Field,Forrest Gump,06/11/1946,Sally_Field
42,31619,Rachel McAdams,The Notebook,17/11/1978,Rachel_McAdams
43,31397,Daryl Hannah,Wall Street,03/12/1960,Daryl_Hannah
44,30575,Michelle Monaghan,Gone Baby Gone,23/03/1976,Michelle_Monaghan
45,30503,Nicole Kidman,Moulin Rouge!,20/06/1967,Nicole_Kidman
46,29970,Jennifer Garner,Alias,17/04/1972,Jennifer_Garner
47,29950,Carey Mulligan,Never Let Me Go,28/05/1985,Carey_Mulligan
48,29609,Kathy Bates,Misery,28/06/1948,Kathy_Bates
49,29417,Emily Mortimer,Mary Poppins Returns,06/10/1971,Emily_Mortimer
50,29246,Naomi Watts,Mulholland Dr.,28/09/1968,Naomi_Watts
51,28923,Michelle Williams,My Week with Marilyn,09/09/1980,Michelle_Williams
52,28878,Diane Kruger,Inglourious Basterds,15/07/1976,Diane_Kruger
53,28040,Mélanie Laurent,Inglourious Basterds,21/02/1983,Mélanie_Laurent
54,27975,Julia Stiles,10 Things I Hate About You,28/03/1981,Julia_Stiles
55,27832,Margot Robbie,Suicide Squad,02/07/1990,Margot_Robbie
56,27685,Viola Davis,Fences,11/08/1965,Viola_Davis
57,27191,Maggie Smith,Gosford Park,28/12/1934,Maggie_Smith
58,26846,Laura Linney,The Big C,05/02/1964,Laura_Linney
59,26500,Emma Watson,The Perks of Being a Wallflower,15/04/1990,Emma_Watson
60,26282,Charlize Theron,Monster,07/08/1975,Charlize_Theron
61,26237,Rosanna Arquette,Pulp Fiction,10/08/1959,Rosanna_Arquette
62,26219,Olivia Williams,The Ghost Writer,26/07/1968,Olivia_Williams
63,26134,Octavia Spencer,Hidden Figures,25/05/1970,Octavia_Spencer
64,25861,Catherine Keener,Being John Malkovich,26/03/1959,Catherine_Keener
65,25363,Alice Braga,I Am Legend,15/04/1983,Alice_Braga
66,25263,Patricia Clarkson,The Station Agent,29/12/1959,Patricia_Clarkson
67,24906,Zoe Saldana,Avatar,19/06/1978,Zoe_Saldana
68,24537,Elliot Page,Juno,21/02/1987,Elliot_Page
69,24330,Elle Fanning,Super 8,09/04/1998,Elle_Fanning
70,24210,Kerry Washington,Scandal,31/01/1977,Kerry_Washington
71,23982,Cameron Diaz,Vanilla Sky,30/08/1972,Cameron_Diaz
72,23641,Kristen Wiig,Bridesmaids,22/08/1973,Kristen_Wiig
73,23630,Joan Allen,Room,20/08/1956,Joan_Allen
74,23475,Rachel Weisz,The Constant Gardener,07/03/1970,Rachel_Weisz
75,23423,Jennifer Jason Leigh,The Hateful Eight,05/02/1962,Jennifer_Jason_Leigh
76,23395,Annette Bening,American Beauty,29/05/1958,Annette_Bening
77,23255,Rooney Mara,Carol,17/04/1985,Rooney_Mara
78,23229,Kirsten Dunst,Spider-Man,30/04/1982,Kirsten_Dunst
79,23137,Sarah Paulson,12 Years a Slave,17/12/1974,Sarah_Paulson
80,22428,Saoirse Ronan,Hanna,12/04/1994,Saoirse_Ronan
81,22220,Penélope Cruz,Vicky Cristina Barcelona,28/04/1974,Penélope_Cruz
82,22214,Angelina Jolie,"Girl, Interrupted",04/06/1975,Angelina_Jolie
83,22156,Lucy Liu,Kill Bill: Vol. 1,02/12/1968,Lucy_Liu
84,21989,Connie Nielsen,Gladiator,03/07/1965,Connie_Nielsen
85,21672,Ashley Judd,Double Jeopardy,19/04/1968,Ashley_Judd
86,21387,Bridget Moynahan,"I, Robot",28/04/1971,Bridget_Moynahan
87,21334,Kelly Macdonald,No Country for Old Men,23/02/1976,Kelly_Macdonald
88,21281,Allison Janney,The Help,19/11/1959,Allison_Janney
89,21219,Piper Perabo,Coyote Ugly,31/10/1976,Piper_Perabo
90,20987,Vivica A. Fox,Independence Day,30/07/1964,Vivica_A._Fox
91,20868,Katie Holmes,Batman Begins,18/12/1978,Katie_Holmes
92,20787,Jennifer Ehle,Zero Dark Thirty,29/12/1969,Jennifer_Ehle
93,20033,Liv Tyler,Armageddon,01/07/1977,Liv_Tyler
94,19889,Reese Witherspoon,Wild,22/03/1976,Reese_Witherspoon
95,19767,Lea Thompson,Back to the Future,31/05/1961,Lea_Thompson
96,19758,Emily Blunt,Edge of Tomorrow,23/02/1983,Emily_Blunt
97,19503,Stephanie Kurtzuba,The Irishman,,Stephanie_Kurtzuba
98,19389,Catherine Zeta-Jones,Chicago,25/09/1969,Catherine_Zeta-Jones
99,19359,Hilary Swank,Million Dollar Baby,30/07/1974,Hilary_Swank
100,19296,Amy Ryan,Gone Baby Gone,03/05/1968,Amy_Ryan
101,19294,Rosamund Pike,Gone Girl,,Rosamund_Pike
102,19139,Michelle Pfeiffer,What Lies Beneath,29/04/1958,Michelle_Pfeiffer
103,19127,Maria Bello,A History of Violence,18/04/1967,Maria_Bello
104,19098,Ellen Burstyn,Requiem for a Dream,07/12/1932,Ellen_Burstyn
105,19023,Emily Watson,Gosford Park,14/01/1967,Emily_Watson
106,18884,Kim Basinger,L.A. Confidential,08/12/1953,Kim_Basinger
107,18125,Marcia Gay Harden,Mystic River,14/08/1959,Marcia_Gay_Harden
108,18112,Alison Pill,Scott Pilgrim vs. the World,27/11/1985,Alison_Pill
109,18070,Anna Kendrick,Up in the Air,09/08/1985,Anna_Kendrick
110,17614,Zoë Kravitz,Mad Max: Fury Road,01/12/1988,Zoë_Kravitz
111,17561,Marisa Tomei,My Cousin Vinny,04/12/1964,Marisa_Tomei
112,17561,Franka Potente,Lola rennt,22/07/1974,Franka_Potente
113,17527,Karen Allen,Raiders of the Lost Ark,05/10/1951,Karen_Allen
114,17468,Frances Fisher,Titanic,11/05/1952,Frances_Fisher
115,17352,Kristen Stewart,Snow White and the Huntsman,09/04/1990,Kristen_Stewart
116,17349,Isla Fisher,Wedding Crashers,03/02/1976,Isla_Fisher
117,17330,Laura Dern,Jurassic Park,10/02/1967,Laura_Dern
118,17315,Bryce Dallas Howard,Jurassic World: Dominion,02/03/1981,Bryce_Dallas_Howard
119,17048,Sean Young,Blade Runner,20/11/1959,Sean_Young
120,16656,Beverly D'Angelo,National Lampoon's Vacation,15/11/1951,Beverly_D'Angelo
121,16595,Mary Steenburgen,Last Vegas,08/02/1953,Mary_Steenburgen
122,16402,Abbie Cornish,Bright Star,07/08/1982,Abbie_Cornish
123,16197,Ana de Armas,Blade Runner 2049,30/04/1988,Ana_de_Armas
124,16003,Chloë Sevigny,We Are Who We Are,18/11/1974,Chloë_Sevigny
125,15975,Dakota Fanning,War of the Worlds,23/02/1994,Dakota_Fanning
126,15619,Jennifer Morrison,House M.D.,12/04/1979,Jennifer_Morrison
127,15614,Heather Graham,Austin Powers: The Spy Who Shagged Me,29/01/1970,Heather_Graham
128,15458,Monica Bellucci,Malèna,30/09/1964,Monica_Bellucci
129,15431,Kate Mara,Fantastic Four,27/02/1983,Kate_Mara
130,15393,Vanessa Redgrave,Coriolanus,30/01/1937,Vanessa_Redgrave
131,15361,Jamie Lee Curtis,Halloween,22/11/1958,Jamie_Lee_Curtis
132,15083,Alexandra Maria Lara,Der Untergang,12/11/1978,Alexandra_Maria_Lara
133,15015,Mary McDonnell,Battlestar Galactica,28/04/1952,Mary_McDonnell
134,14932,Mia Wasikowska,Alice in Wonderland,25/10/1989,Mia_Wasikowska
135,14605,Louise Fletcher,One Flew Over the Cuckoo's Nest,22/07/1934,Louise_Fletcher
136,14501,Bonnie Bedelia,Die Hard,25/03/1948,Bonnie_Bedelia
137,14406,Abigail Breslin,Little Miss Sunshine,14/04/1996,Abigail_Breslin
138,14369,Shailene Woodley,Big Little Lies,15/11/1991,Shailene_Woodley
139,14152,Lorraine Bracco,Goodfellas,02/10/1954,Lorraine_Bracco
140,14140,Rosario Dawson,Rent,09/05/1979,Rosario_Dawson
141,14099,Natascha McElhone,Ronin,14/12/1969,Natascha_McElhone
142,14056,Helen Hunt,As Good as It Gets,15/06/1963,Helen_Hunt
143,14049,Olivia Colman,The Favourite,30/01/1974,Olivia_Colman
144,14014,Shelley Duvall,The Shining,07/07/1949,Shelley_Duvall
145,13971,Anjelica Huston,The Grifters,08/07/1951,Anjelica_Huston
146,13869,Kim Dickens,Gone Girl,18/06/1965,Kim_Dickens
147,13564,Dianne Wiest,The Birdcage,28/03/1946,Dianne_Wiest
148,13480,Andrea Riseborough,Birdman or (The Unexpected Virtue of Ignorance),20/11/1981,Andrea_Riseborough
149,13410,Madeleine Stowe,Twelve Monkeys,18/08/1958,Madeleine_Stowe
150,13390,Miranda Richardson,The Crying Game,03/03/1958,Miranda_Richardson
151,13292,Juliette Lewis,Natural Born Killers,21/06/1973,Juliette_Lewis
152,13119,Marisa Paredes,Todo sobre mi madre,03/04/1946,Marisa_Paredes
153,13106,Zazie Beetz,Atlanta,01/06/1991,Zazie_Beetz
154,13092,Sissy Spacek,In the Bedroom,25/12/1949,Sissy_Spacek
155,13079,Audrey Tautou,Le fabuleux destin d'Amélie Poulain,09/08/1976,Audrey_Tautou
156,12900,Chloë Grace Moretz,Kick-Ass,10/02/1997,Chloë_Grace_Moretz
157,12720,Thandiwe Newton,Crash,06/11/1972,Thandiwe_Newton
158,12621,Radha Mitchell,Pitch Black,12/11/1973,Radha_Mitchell
159,12603,Susan Sarandon,Thelma & Louise,04/10/1946,Susan_Sarandon
160,12589,Eva Green,Casino Royale,06/07/1980,Eva_Green
161,12584,Veronica Cartwright,Alien,20/04/1949,Veronica_Cartwright
162,12435,Helen Mirren,The Queen,26/07/1945,Helen_Mirren
163,12394,Paula Patton,Precious,05/12/1975,Paula_Patton
164,12391,Patricia Arquette,True Romance,08/04/1968,Patricia_Arquette
165,12363,Catherine McCormack,Braveheart,03/04/1972,Catherine_McCormack
166,12290,Mary-Louise Parker,Weeds,02/08/1964,Mary-Louise_Parker
167,12167,Mila Kunis,Black Swan,14/08/1983,Mila_Kunis
168,12155,Freida Pinto,Slumdog Millionaire,18/10/1984,Freida_Pinto
169,12054,Clémence Poésy,In Bruges,30/10/1982,Clémence_Poésy
170,12040,Nathalie Baye,Catch Me If You Can,06/07/1948,Nathalie_Baye
171,11946,Sophie Marceau,La boum,17/11/1966,Sophie_Marceau
172,11890,Rene Russo,Nightcrawler,17/02/1954,Rene_Russo
173,11580,Janet Leigh,Psycho,06/07/1927,Janet_Leigh
174,11137,Vera Miles,The Man Who Shot Liberty Valance,23/08/1929,Vera_Miles
175,11090,Regina King,Ray,15/01/1971,Regina_King
176,11053,Emmy Rossum,The Phantom of the Opera,12/09/1986,Emmy_Rossum
177,11037,Diane Venora,Heat,10/08/1952,Diane_Venora
178,10992,Renée Zellweger,Chicago,25/04/1969,Renée_Zellweger
179,10917,Anna Paquin,The Piano,24/07/1982,Anna_Paquin
180,10831,Sally Hawkins,The Shape of Water,27/04/1976,Sally_Hawkins
181,10776,Alicia Vikander,Ex Machina,03/10/1988,Alicia_Vikander
182,10765,January Jones,X: First Class,05/01/1978,January_Jones
183,10723,Julia Ormond,My Week with Marilyn,04/01/1965,Julia_Ormond
184,10593,Grace Kelly,Dial M for Murder,12/11/1929,Grace_Kelly
185,10527,Eva Mendes,Hitch,05/03/1974,Eva_Mendes
186,10498,Julie Delpy,Trois couleurs: Blanc,21/12/1969,Julie_Delpy
187,10427,Hiam Abbass,Blade Runner 2049,30/11/1960,Hiam_Abbass
188,10395,Julie Christie,Doctor Zhivago,14/04/1940,Julie_Christie
189,10320,Kristin Scott Thomas,Gosford Park,24/05/1960,Kristin_Scott_Thomas
190,10289,Emma Thompson,Sense and Sensibility,15/04/1959,Emma_Thompson
191,10287,Sharon Stone,Basic Instinct,10/03/1958,Sharon_Stone
192,10257,Kelly Reilly,Pride & Prejudice,18/07/1977,Kelly_Reilly
193,10018,Demi Moore,G.I. Jane,11/11/1962,Demi_Moore
194,9951,Maribel Verdú,El laberinto del fauno,02/10/1970,Maribel_Verdú
195,9922,Taraji P. Henson,The Curious Case of Benjamin Button,11/09/1970,Taraji_P._Henson
196,9880,Gena Rowlands,The Notebook,19/06/1930,Gena_Rowlands
197,9844,Evan Rachel Wood,Thirteen,07/09/1987,Evan_Rachel_Wood
198,9766,Linda Fiorentino,The Last Seduction,09/03/1958,Linda_Fiorentino
199,9721,Halle Berry,Catwoman,14/08/1966,Halle_Berry
200,9715,Brie Larson,Room,01/10/1989,Brie_Larson
201,9584,Melanie Lynskey,Togetherness,16/05/1977,Melanie_Lynskey
202,9555,Ingrid Bergman,Casablanca,29/08/1915,Ingrid_Bergman
203,9321,Cho Yeo-jeong,Gisaengchung,10/02/1981,Cho_Yeo-jeong
204,9321,Park So-dam,Gisaengchung,08/09/1991,Park_So-dam
205,9257,Meg Ryan,When Harry Met Sally...,19/11/1961,Meg_Ryan
206,9212,Salli Richardson-Whitfield,Anacondas: The Hunt for the Blood Orchid,23/11/1967,Salli_Richardson-Whitfield
207,9200,Faye Dunaway,Bonnie and Clyde,14/01/1941,Faye_Dunaway
208,9129,Cybill Shepherd,Cybill,18/02/1950,Cybill_Shepherd
209,9032,Andie MacDowell,Groundhog Day,21/04/1958,Andie_MacDowell
210,8998,Nicoletta Braschi,La vita è bella,19/04/1960,Nicoletta_Braschi
211,8995,Saffron Burrows,You,22/10/1972,Saffron_Burrows
212,8875,Haley Bennett,The Magnificent Seven,07/01/1988,Haley_Bennett
213,8800,Holly Hunter,Broadcast News,20/03/1958,Holly_Hunter
214,8780,Ziyi Zhang,Yi dai zong shi,09/02/1979,Ziyi_Zhang
215,8673,Samantha Morton,Minority Report,13/05/1977,Samantha_Morton
216,8552,Sylvia Hoeks,Blade Runner 2049,01/06/1983,Sylvia_Hoeks
217,8547,Teri Polo,Meet the Parents,01/06/1969,Teri_Polo
218,8547,Blythe Danner,Meet the Parents,03/02/1943,Blythe_Danner
219,8462,Bridget Fonda,A Simple Plan,27/01/1964,Bridget_Fonda
220,8456,Gretchen Mol,The Thirteenth Floor,08/11/1972,Gretchen_Mol
221,8431,Rachel Griffiths,Six Feet Under,18/12/1968,Rachel_Griffiths
222,8264,Lorraine Gary,Jaws: The Revenge,16/08/1937,Lorraine_Gary
223,8259,Ivana Baquero,El laberinto del fauno,11/06/1994,Ivana_Baquero
224,8259,Ariadna Gil,El laberinto del fauno,23/01/1969,Ariadna_Gil
225,8255,Noomi Rapace,Män som hatar kvinnor,28/12/1979,Noomi_Rapace
226,8135,Milla Jovovich,The Fifth Element,17/12/1975,Milla_Jovovich
227,8114,Sienna Miller,G.I. Joe: The Rise of Cobra,28/12/1981,Sienna_Miller
228,8045,Tabu,Andhadhun,04/11/1970,Tabu
229,8004,Shirley MacLaine,Terms of Endearment,24/04/1934,Shirley_MacLaine
230,7953,Charlotte Gainsbourg,Antichrist,21/07/1971,Charlotte_Gainsbourg
231,7923,Brenda Blethyn,Pride & Prejudice,20/02/1946,Brenda_Blethyn
232,7909,Charlotte Rampling,45 Years,05/02/1946,Charlotte_Rampling
233,7881,Amanda Seyfried,Les Misérables,03/12/1985,Amanda_Seyfried
234,7856,Samantha Mathis,Broken Arrow,12/05/1970,Samantha_Mathis
235,7832,Kate Beckinsale,Underworld: Evolution,26/07/1973,Kate_Beckinsale
236,7717,Anna Friel,Land of the Lost,12/07/1976,Anna_Friel
237,7713,Isabella Rossellini,Blue Velvet,18/06/1952,Isabella_Rossellini
