"show_id","Languages"
"s2293","Hindi"
"s2293","Telugu"
"s2293","English"
"s2293","Kannada"
"s2185","English"
"s2187","Hindi"
"s2188","English"
"s2188","Afrikaans"
"s2188","Zulu"
"s2188","Tswana"
"s2190","English"
"s2298","Japanese"
"s2199","Polish"
"s2200","English"
"s2202","English"
"s2206","Mandarin"
"s2211","Spanish/ English"
"s2212","Japanese"
"s2213","Spanish"
"s2216","English"
"s2304","English"
"s2304","Spanish"
"s2228","English"
"s2237","Tamil"
"s2237","Hindi"
"s2237","Telugu"
"s2237","English"
"s2237","Kannada"
"s2246","Portuguese"
"s566","English"
"s2309","French; English; Spanish"
"s2314","English"
"s2320","Italian"
"s2972","Spanish"
"s2975","Italian"
"s2977","Spanish"
"s2981","English"
"s3047","Spanish"
"s2986","Hindi"
"s2992","Turkish"
"s2992","English"
"s2994","English"
"s2998","English"
"s2999","English"
"s2999","Japanese"
"s3000","Malay"
"s3000","Mandarin"
"s1394","English"
"s3050","English"
"s1404","Portuguese"
"s1409","English"
"s3025","English"
"s1420","English"
"s3036","English"
"s3037","Hindi"
"s1463","Korean"
"s3076","English"
"s2938","English"
"s2943","Korean"
"s1336","English"
"s1345","Italian"
"s2949","English"
"s2950","English"
"s2951","English"
"s1347","Polish"
"s2871","English"
"s2871","French"
"s2871","Russian"
"s2871","Swahili"
"s2871","Afrikaans"
"s2871","Xhosa"
"s2871","Zulu"
"s2871","Shona"
"s2871","Tsonga"
"s2871","Pretoria Sotho"
"s2875","English"
"s2875","Japanese"
"s2875","Spanish"
"s2876","Japanese"
"s2881","English"
"s2884","English"
"s2889","Korean"
"s2892","English"
"s2892","Spanish"
"s2895","Spanish"
"s2899","Hindi"
"s2901","Portuguese"
"s1352","Spanish"
"s1307","English"
"s2915","German"
"s2918","Hindi"
"s2922","Spanish"
"s2922","English"
"s2960","Korean"
"s1572","Italian"
"s1572","French"
"s1573","English"
"s1574","English"
"s1575","English"
"s1578","Portuguese"
"s1580","English"
"s1586","English"
"s1587","French"
"s1589","English"
"s1590","English"
"s1590","Hindi"
"s1593","German"
"s1595","Turkish"
"s1598","English"
"s1474","English"
"s1480","Italian"
"s1602","Portuguese"
"s1484","Mandarin"
"s1491","English"
"s1492","Hindi"
"s1504","Korean"
"s1506","English"
"s1604","English"
"s1517","Norwegian"
"s1521","Tamil"
"s1528","English"
"s1529","Korean"
"s1534","Spanish"
"s1536","English"
"s1536","Xhosa"
"s1536","Zulu"
"s1536","Southern Sotho"
"s1536","Tswana"
"s1546","English"
"s1551","English"
"s1553","English"
"s1557","English"
"s1560","Spanish"
"s1560","Galician"
"s1562","Hindi"
"s1563","Japanese"
"s8126","English"
"s8126","Korean"
"s2151","German"
"s2152","Spanish"
"s2153","English"
"s2154","German"
"s2163","Danish"
"s2163","Swedish"
"s2166","English"
"s2166","French"
"s2169","Portuguese"
"s2087","English"
"s2087","Hindi"
"s2089","Spanish"
"s2090","Japanese"
"s2092","Chinese"
"s2092","Mandarin"
"s2097","English"
"s230","English"
"s230","Spanish"
"s230","Nahuatl"
"s2104","Hindi"
"s2109","Korean"
"s2114","English"
"s261","English"
"s261","German"
"s2123","English"
"s2125","Danish"
"s2130","English"
"s2133","English"
"s2134","English"
"s2135","Spanish"
"s2141","English"
"s332","Japanese"
"s2175","English"
"s1085","Chinese"
"s2700","French"
"s1098","English"
"s1100","Cameroonian Pidgin English"
"s2598","English"
"s2599","Japanese"
"s2602","Portuguese"
"s2604","Taiwanese Mandarin"
"s2712","Spanish"
"s2607","Korean"
"s2629","English"
"s2641","English"
"s2644","Turkish"
"s2649","Spanish"
"s2651","Korean"
"s2666","Korean"
"s2669","French"
"s2671","Hindi"
"s2672","German"
"s1032","German"
"s2677","Arabic"
"s2677","Hebrew"
"s2677","English"
"s1061","English"
"s1061","Hindi"
"s2694","English"
"s2694","Italian"
"s2698","English"
"s2698","Mandarin"
"s1123","Hindi/english"
"s2728","English"
"s2742","Tamil"
"s2749","Chinese"
"s3535","English"
"s3538","Tamil"
"s3482","English"
"s3482","Hindi"
"s3482","Urdu"
"s3484","Spanish"
"s3490","English"
"s3492","Korean"
"s6817","Vietnamese"
"s3495","English"
"s1971","Arabic"
"s3502","French"
"s3503","German"
"s3504","Spanish"
"s3507","Spanish"
"s3507","Catalan"
"s122","Korean"
"s3511","Korean"
"s3522","French"
"s3523","Mandarin"
"s3525","English"
"s3526","English"
"s3527","English"
"s3528","English"
"s88","English"
"s7684","English"
"s3445","English"
"s3445","Spanish"
"s3446","Korean"
"s3450","English"
"s3454","English"
"s3456","English"
"s3358","Thai"
"s3362","Korean"
"s3458","English"
"s3365","English"
"s3374","Spanish"
"s3382","Chinese"
"s3383","English"
"s1799","French"
"s1799","Portuguese"
"s3386","English"
"s3387","English"
"s3459","English"
"s3460","Spanish"
"s3399","English"
"s3413","Hindi"
"s3416","English"
"s3426","French"
"s3429","English"
"s3430","English"
"s3431","English"
"s3435","Spanish"
"s3438","Japanese"
"s1907","English"
"s1924","English"
"s3298","French"
"s3299","Spanish"
"s1729","Spanish"
"s3313","Tamil"
"s3314","English"
"s3314","Hebrew"
"s3208","English"
"s3208","French"
"s3208","Wolof"
"s3209","English"
"s3223","French"
"s3244","Portuguese"
"s3246","English"
"s3247","English"
"s1666","Swahili"
"s3252","Telugu"
"s3253","German"
"s3254","Spanish"
"s3256","French"
"s3258","Thai"
"s1694","Japanese"
"s3267","Spanish"
"s3268","Telugu"
"s3270","English"
"s3274","Spanish"
"s3274","English"
"s3274","Saami"
"s3274","North"
"s3276","English"
"s3282","Thai"
"s3292","Chinese"
"s3292","Mandarin"
"s1749","English"
"s1760","English"
"s1760","Danish"
"s1761","English"
"s3338","English"
"s3345","English"
"s3353","German"
"s2557","Arabic"
"s3853","Korean"
"s3857","English"
"s3859","English"
"s3859","Russian"
"s3790","Portuguese"
"s3861","Spanish"
"s2470","Mandarin"
"s3801","English"
"s3802","English"
"s2474","English"
"s2517","Italian"
"s3813","English"
"s3821","English"
"s3821","French"
"s3821","German"
"s3821","Dutch"
"s2522","Spanish"
"s2529","Korean"
"s2533","Indonesian"
"s3830","English"
"s3834","French"
"s3839","Portuguese"
"s3841","English"
"s939","Hindi"
"s2586","Italian"
"s2586","English"
"s4035","French"
"s2835","French"
"s2753","Hindi"
"s2774","English"
"s2774","Hungarian"
"s3981","Spanish"
"s3988","French"
"s3999","Japanese"
"s2799","English"
"s2811","Hindi"
"s2824","Korean"
"s4025","Spanish"
"s4025","English"
"s4025","Portuguese"
"s4055","English"
"s4063","English"
"s4063","Chewa"
"s3768","German"
"s3771","English"
"s3780","English"
"s3702","Tamil"
"s3706","English"
"s3708","English"
"s3718","English"
"s3718","Thai"
"s3718","Indonesian"
"s3718","Mandarin"
"s3722","English"
"s3723","Spanish"
"s3728","English"
"s3731","French"
"s3731","English"
"s781","English"
"s3781","Korean"
"s2372","Filipino"
"s3744","Spanish"
"s3747","French"
"s3748","Portuguese"
"s3749","Spanish"
"s3751","Hindi"
"s2444","Arabic"
"s3786","English"
"s7236","Hindi"
"s524","English"
"s3685","Japanese"
"s3635","English"
"s2294","Spanish"
"s2294","English"
"s3687","English"
"s2197","Chinese"
"s2197","Italian"
"s2197","English"
"s2197","Polish"
"s2197","Cantonese"
"s3639","Tagalog"
"s3639","Filipino"
"s3640","French"
"s3641","Korean"
"s3643","English"
"s2221","Chinese"
"s2221","English"
"s2221","Cantonese"
"s436","Korean"
"s554","French"
"s3691","Korean"
"s3655","English"
"s3657","Korean"
"s457","Korean"
"s462","Arabic"
"s3670","Swedish"
"s3672","English"
"s3673","German"
"s3674","Korean"
"s3675","Chinese"
"s3675","Taiwanese Mandarin"
"s7319","Hindi"
"s570","Vietnamese"
"s2305","English"
"s2305","Italian"
"s2987","Tamil"
"s4173","English"
"s3051","French"
"s3051","German"
"s3051","Dutch"
"s3024","English"
"s3024","Spanish"
"s3024","French"
"s3024","Korean"
"s3027","English"
"s3030","English"
"s3030","Spanish"
"s3030","Polish"
"s4203","English"
"s3035","English"
"s3035","Japanese"
"s3057","English; Hindi"
"s4228","English"
"s4228","Japanese"
"s4133","Korean"
"s2869","Spanish"
"s2872","Spanish"
"s4086","Marathi"
"s4088","French"
"s1296","Hindi"
"s4106","English"
"s2924","Thai"
"s1317","Kannada"
"s1321","English"
"s1321","Luxembourgish"
"s1321","French"
"s1321","German"
"s1366","French"
"s2963","French"
"s2963","English"
"s2963","Hindi"
"s2963","Arabic"
"s2963","Korean"
"s2963","Hebrew"
"s2964","Dutch"
"s4143","English"
"s4143","German"
"s4143","Hungarian"
"s1579","Arabic"
"s3166","English"
"s3174","Japanese"
"s3175","Portuguese"
"s3176","English"
"s3177","Spanish"
"s3178","Mandarin"
"s3178","Taiwanese Mandarin"
"s3183","English"
"s1476","Indonesian"
"s3078","Telugu"
"s1478","English"
"s3089","Japanese"
"s1599","Filipino"
"s8301","Portuguese"
"s3090","Japanese"
"s3096","French"
"s3105","Spanish"
"s3107","English"
"s3117","Spanish"
"s3117","Italian"
"s3117","Latin"
"s3117","English"
"s3117","French"
"s3117","German"
"s3117","Portuguese"
"s3122","English"
"s1568","Filipino"
"s3192","Filipino"
"s3605","Portuguese"
"s3616","English"
"s3616","Cantonese"
"s3617","Hindi"
"s3551","English"
"s3556","English"
"s3563","Japanese"
"s3569","Tamil"
"s3569","Telugu"
"s3570","Tamil"
"s3570","Telugu"
"s3571","Tamil"
"s3571","Telugu"
"s3572","English"
"s3577","Spanish"
"s3578","Russian"
"s3580","Spanish"
"s3580","Portuguese"
"s3581","English"
"s3582","English"
"s6465","English; Hindi"
"s3593","English"
"s3595","Tamil"
"s3598","English"
"s290","Korean"
"s2146","Japanese"
"s3943","English"
"s3944","English"
