"Position","Const","Created","Modified","Description","Name","Known.For","Birth.Date","rank_category"
1,"nm0634240","2018-06-28","2018-07-14","143174 points","Christopher Nolan","Tenet","1970-07-30","top 10"
2,"nm0000229","2018-06-05","2022-11-07","135048 points","Steven Spielberg","Schindler's List","1946-12-18","top 10"
3,"nm0000233","2018-06-24","2022-04-03","111739 points","Quentin Tarantino","Reservoir Dogs","1963-03-27","top 10"
4,"nm0000217","2018-06-10","2020-07-17","103526 points","Martin Scorsese","Taxi Driver","1942-11-17","top 10"
5,"nm0000399","2018-06-26","2021-04-08","83185 points","David Fincher","Se7en","1962-08-28","top 10"
6,"nm0000631","2018-06-12","2021-12-09","70150 points","Ridley Scott","The Martian","1937-11-30","top 10"
7,"nm0000040","2018-05-28","2018-06-29","63606 points","Stanley Kubrick","2001: A Space Odyssey","1928-07-26","top 10"
8,"nm0000709","2018-06-16","2018-07-13","63408 points","Robert Zemeckis","Back to the Future","1952-05-14","top 10"
9,"nm0000338","2018-06-06","2019-01-10","58488 points","Francis Ford Coppola","Apocalypse Now","1939-04-07","top 10"
10,"nm0000142","2018-06-07","2022-12-09","57379 points","Clint Eastwood","Million Dollar Baby","1930-05-31","top 10"
11,"nm0001054","2018-06-16","2021-05-08","52964 points","Joel Coen","The Ballad of Buster Scruggs","1954-11-29","top 20"
12,"nm0001104","2018-06-25","2018-06-29","52350 points","Frank Darabont","The Shawshank Redemption","1959-01-28","top 20"
13,"nm0005222","2018-06-29","2022-05-26","49649 points","Sam Mendes","1917","1965-08-01","top 20"
14,"nm0000033","2018-05-20","2019-04-02","41724 points","Alfred Hitchcock","Psycho","1899-08-13","top 20"
15,"nm0000116","2018-06-16","2021-09-24","35492 points","James Cameron","Avatar","1954-08-16","top 20"
16,"nm0000965","2018-06-25","2020-02-09","35149 points","Danny Boyle","127 Hours","1956-10-20","top 20"
17,"nm1349376","2018-07-09","2022-11-16","33947 points","Francis Lawrence","The Hunger Games: Catching Fire","1971-03-26","top 20"
18,"nm0000165","2018-06-20","2021-06-05","32144 points","Ron Howard","Arrested Development","1954-03-01","top 20"
19,"nm0004716","2018-06-28","2021-07-15","30689 points","Darren Aronofsky","Pi","1969-02-12","top 20"
20,"nm0680846","2018-07-07","2020-02-09","30559 points","Todd Phillips","Joker","1970-12-20","top 20"
21,"nm0000318","2018-06-22","2019-01-28","30153 points","Tim Burton","Edward Scissorhands","1958-08-25","top 50"
22,"nm0898288","2018-07-08","2021-05-10","29887 points","Denis Villeneuve","Dune: Part One","1967-10-03","top 50"
23,"nm0005363","2018-06-28","2022-06-26","28492 points","Guy Ritchie","Sherlock Holmes","1968-09-10","top 50"
24,"nm0027572","2018-06-30","2021-06-28","27844 points","Wes Anderson","Fantastic Mr. Fox","1969-05-01","top 50"
25,"nm0796117","2018-06-29","2022-06-01","27270 points","M. Night Shyamalan","Lady in the Water","1970-08-06","top 50"
26,"nm0000108","2018-06-23","2022-01-23","26569 points","Luc Besson","The Fifth Element","1959-03-18","top 50"
27,"nm0339030","2018-07-04","2021-05-07","26241 points","Paul Greengrass","United 93","1955-08-13","top 50"
28,"nm0000591","2018-06-01","2018-07-09","26022 points","Roman Polanski","Chinatown","1933-08-18","top 50"
29,"nm0327944","2018-06-30","2020-01-02","25665 points","Alejandro G. Iñárritu","Biutiful","1963-08-15","top 50"
30,"nm0000095","2018-06-07","2018-07-14","25099 points","Woody Allen","Manhattan","1935-11-30","top 50"
31,"nm0001466","2018-05-31","2018-06-16","24377 points","Sergio Leone","Once Upon a Time in America","1929-01-03","top 50"
32,"nm0001752","2018-06-22","2021-07-17","23802 points","Steven Soderbergh","Sex, Lies, and Videotape","1963-01-14","top 50"
33,"nm0000416","2018-06-10","2021-04-20","22977 points","Terry Gilliam","Brazil","1940-11-22","top 50"
34,"nm0001060","2018-06-23","2018-07-01","22925 points","Chris Columbus","Harry Potter and the Sorcerer's Stone","1958-09-10","top 50"
35,"nm0001661","2018-06-16","2019-01-04","22834 points","Rob Reiner","All in the Family","1947-03-06","top 50"
36,"nm0001716","2018-06-17","2019-01-16","22797 points","Tony Scott","Domino","1944-06-21","top 50"
37,"nm0001837","2018-06-14","2018-07-08","22682 points","Peter Weir","Master and Commander: The Far Side of the World","1944-08-21","top 50"
38,"nm0000361","2018-06-14","2021-07-14","22635 points","Brian De Palma","Phantom of the Paradise","1940-09-11","top 50"
39,"nm0000520","2018-06-24","2019-10-19","22227 points","Michael Mann","The Insider","1943-02-05","top 50"
40,"nm0751102","2018-06-29","2018-07-13","22172 points","David O. Russell","American Hustle","1958-08-20","top 50"
41,"nm0001129","2018-06-23","2018-07-07","22035 points","Jonathan Demme","The Silence of the Lambs","1944-02-22","top 50"
42,"nm0000154","2018-06-26","2018-07-14","21893 points","Mel Gibson","Braveheart","1956-01-03","top 50"
43,"nm0893659","2018-07-02","2018-07-04","21634 points","Gore Verbinski","Rango","1964-03-16","top 50"
44,"nm0001232","2018-06-10","2018-06-29","21205 points","Milos Forman","One Flew Over the Cuckoo's Nest","1932-02-18","top 50"
45,"nm0286975","2018-06-30","2021-12-24","20531 points","Marc Forster","World War Z","1969-11-30","top 50"
46,"nm0001880","2018-06-22","2021-12-07","19428 points","Edward Zwick","Thirtysomething","1952-10-08","top 50"
47,"nm0001486","2018-05-29","2018-12-09","19257 points","Sidney Lumet","12 Angry Men","1924-06-25","top 50"
48,"nm0000500","2018-06-24","2018-07-12","18652 points","Richard Linklater","Waking Life","1960-07-30","top 50"
49,"nm0942367","2019-09-24","2020-01-15","18390 points","Edgar Wright","Shaun of the Dead","1974-04-18","top 50"
50,"nm0000487","2018-06-28","2018-11-21","18329 points","Ang Lee","Wo hu cang long","1954-10-23","top 50"
51,"nm0000231","2018-06-17","2021-09-06","18137 points","Oliver Stone","JFK","1946-09-15","top 100"
52,"nm0000759","2018-06-27","2019-04-30","17949 points","Paul Thomas Anderson","Punch-Drunk Love","1970-06-26","top 100"
53,"nm0443411","2018-06-28","2018-07-09","17825 points","Tony Kaye","Detachment","","top 100"
54,"nm0001741","2018-06-26","2019-04-21","17703 points","Bryan Singer","X-Men","1965-09-17","top 100"
55,"nm0905154","2018-06-29","2018-07-02","17471 points","Lana Wachowski","The Matrix","1965-06-21","top 100"
56,"nm0905152","2018-06-29","2018-07-02","17471 points","Lilly Wachowski","The Matrix","1967-12-29","top 100"
57,"nm0005124","2018-06-26","2018-06-29","17414 points","John Lasseter","Toy Story 2","1957-01-12","top 100"
58,"nm0009190","2018-07-04","2021-09-24","17412 points","J.J. Abrams","Lost","1966-06-27","top 100"
59,"nm0298807","2018-06-30","2021-12-21","17323 points","Antoine Fuqua","The Magnificent Seven","1965-05-30","top 100"
60,"nm1139726","2018-07-04","2022-11-14","17120 points","Neil Burger","Divergent","","top 100"
61,"nm0001814","2018-06-26","2018-07-06","16782 points","Gus Van Sant","Elephant","1952-07-24","top 100"
62,"nm0821432","2021-05-26","2022-01-25","16504 points","Chad Stahelski","The Matrix Resurrections","1968-09-20","top 100"
63,"nm0000184","2018-06-07","2018-06-11","16410 points","George Lucas","Star Wars","1944-05-14","top 100"
64,"nm0001392","2018-06-25","2018-07-07","16153 points","Peter Jackson","The Lord of the Rings: The Fellowship of the Ring","1961-10-31","top 100"
65,"nm0000255","2018-07-05","2018-07-10","16143 points","Ben Affleck","Argo","1972-08-15","top 100"
66,"nm0094435","2018-07-04","2020-12-31","16113 points","Bong Joon Ho","Snowpiercer","1969-09-14","top 100"
67,"nm3227090","2018-07-12","2018-07-14","16062 points","Damien Chazelle","La La Land","1985-01-19","top 100"
68,"nm0393799","2018-07-07","2018-07-13","16025 points","Tom Hooper","Cats","1972-10-05","top 100"
69,"nm0000948","2018-07-03","2021-05-04","15787 points","Shane Black","The Nice Guys","1961-12-16","top 100"
70,"nm0426059","2021-06-05","2022-09-02","15760 points","Rian Johnson","Knives Out","1973-12-17","top 100"
71,"nm0574625","2018-07-03","2018-07-03","15627 points","James McTeigue","V for Vendetta","","top 100"
72,"nm0449984","2018-06-13","2018-06-13","15602 points","Irvin Kershner","The Empire Strikes Back","1923-04-29","top 100"
73,"nm0576987","2018-07-01","2021-05-02","15433 points","Fernando Meirelles","The Constant Gardener","1955-11-09","top 100"
74,"nm0000697","2018-05-22","2018-05-30","15231 points","Billy Wilder","The Apartment","1906-06-22","top 100"
75,"nm0088955","2021-05-24","2021-09-03","15020 points","Neill Blomkamp","District 9","1979-09-17","top 100"
76,"nm0000583","2018-06-14","2022-08-17","14963 points","Wolfgang Petersen","Das Boot","1941-03-14","top 100"
77,"nm0190859","2018-06-28","2019-01-01","14845 points","Alfonso Cuarón","Gravity","1961-11-28","top 100"
78,"nm0718646","2018-07-03","2018-07-11","14740 points","Jason Reitman","Up in the Air","1977-10-19","top 100"
79,"nm0878763","2018-07-09","2018-07-14","14580 points","Morten Tyldum","Hodejegerne","1967-05-19","top 100"
80,"nm0000490","2018-06-22","2021-05-12","14426 points","Spike Lee","Do the Right Thing","1957-03-20","top 100"
81,"nm0868219","2018-07-04","2021-07-15","14402 points","Guillermo del Toro","El laberinto del fauno","1964-10-09","top 100"
82,"nm1732981","2018-07-06","2021-05-09","13926 points","Martin McDonagh","In Bruges","1970-03-26","top 100"
83,"nm0005069","2018-06-29","2018-07-11","13809 points","Spike Jonze","Her","1969-10-22","top 100"
84,"nm0510731","2018-07-01","2022-08-18","13677 points","Doug Liman","Edge of Tomorrow","1965-07-24","top 100"
85,"nm0525303","2018-06-27","2018-07-11","13581 points","Baz Luhrmann","Moulin Rouge!","1962-09-17","top 100"
86,"nm0002657","2018-07-10","2018-11-09","13556 points","Gary Ross","The Hunger Games","1956-11-03","top 100"
87,"nm0327273","2018-07-02","2018-07-07","13142 points","Michel Gondry","Eternal Sunshine of the Spotless Mind","1963-05-08","top 100"
88,"nm0000941","2018-06-23","2018-07-10","13141 points","Kathryn Bigelow","The Hurt Locker","1951-11-27","top 100"
89,"nm0005366","2018-06-29","2021-12-25","12849 points","Jay Roach","Trumbo","1957-06-14","top 100"
90,"nm0000118","2018-06-10","2022-09-22","12837 points","John Carpenter","The Fog","1948-01-16","top 100"
91,"nm0003506","2018-06-28","2020-02-09","12816 points","James Mangold","Logan","1963-12-16","top 100"
92,"nm0000122","2018-05-17","2021-04-12","12476 points","Charles Chaplin","The Great Dictator","1889-04-16","top 100"
93,"nm0000186","2018-06-11","2018-06-30","12441 points","David Lynch","Twin Peaks","1946-01-20","top 100"
94,"nm0001469","2018-06-18","2018-07-01","12395 points","Barry Levinson","Rain Man","1942-04-06","top 100"
95,"nm2588606","2018-07-07","2018-07-11","12290 points","Steve McQueen","12 Years a Slave","1969-10-09","top 100"
96,"nm0000881","2018-06-27","2018-07-03","11714 points","Michael Bay","Armageddon","1965-02-17","top 100"
97,"nm0004306","2018-06-12","2022-02-08","11691 points","George Miller","Mad Max: Fury Road","1945-03-03","top 100"
98,"nm0001532","2018-06-20","2018-06-23","11641 points","John McTiernan","Die Hard","1951-01-08","top 100"
99,"nm0000041","2018-05-26","2020-08-11","11471 points","Akira Kurosawa","Kakushi-toride no san-akunin","1910-03-23","top 100"
100,"nm0551128","2018-07-01","2021-10-13","11451 points","Rob Marshall","Mary Poppins Returns","1960-10-17","top 100"
101,"nm0001708","2018-06-24","2021-11-16","11317 points","Joel Schumacher","The Phantom of the Opera","1939-08-29","top 200"
102,"nm0001024","2018-07-01","2018-07-07","10927 points","Nick Cassavetes","Face/Off","1959-05-21","top 200"
103,"nm0610831","2018-07-04","2022-09-19","10803 points","Gabriele Muccino","Seven Pounds","1967-05-20","top 200"
104,"nm0001565","2018-06-27","2018-07-03","10786 points","Mike Newell","Four Weddings and a Funeral","1942-03-28","top 200"
105,"nm0000343","2018-06-16","2022-05-08","10542 points","David Cronenberg","The Fly","1943-03-15","top 200"
106,"nm0570912","2018-07-13","2022-02-09","10400 points","Adam McKay","Don't Look Up","1968-04-17","top 200"
107,"nm0619923","2018-07-09","2018-07-09","10299 points","Olivier Nakache","Intouchables","1973-04-15","top 200"
108,"nm0865918","2018-07-09","2018-07-09","10299 points","Éric Toledano","Intouchables","1971-07-03","top 200"
109,"nm0281808","2018-05-21","2018-05-21","10200 points","Victor Fleming","Gone with the Wind","1889-02-23","top 200"
110,"nm0043742","2021-05-23","2021-05-25","10153 points","David Ayer","End of Watch","1968-01-18","top 200"
111,"nm0878756","2018-06-28","2018-07-10","10146 points","Tom Tykwer","Lola rennt","1965-05-23","top 200"
112,"nm0504642","2018-07-01","2018-07-11","10094 points","Louis Leterrier","The Incredible Hulk","1973-06-17","top 200"
113,"nm0353673","2018-07-02","2018-07-08","10066 points","Paul Haggis","Crash","1953-03-10","top 200"
114,"nm0000601","2018-06-24","2018-07-01","9909 points","Harold Ramis","Ghostbusters","1944-11-21","top 200"
115,"nm1512910","2018-07-07","2018-07-09","9834 points","Duncan Jones","Moon","1971-05-30","top 200"
116,"nm0001566","2018-06-01","2020-01-24","9510 points","Mike Nichols","The Graduate","1931-11-06","top 200"
117,"nm0446819","2018-06-30","2018-06-30","9401 points","Richard Kelly","Donnie Darko","1975-03-28","top 200"
118,"nm0661791","2018-07-02","2020-03-26","9322 points","Park Chan-wook","Oldeuboi","1963-08-23","top 200"
119,"nm0000466","2018-06-26","2020-10-14","9051 points","Jean-Pierre Jeunet","Un long dimanche de fiançailles","1953-09-03","top 200"
120,"nm0000576","2018-07-05","2018-07-05","9034 points","Sean Penn","Mystic River","1960-08-17","top 200"
121,"nm0197636","2018-07-01","2022-06-10","9002 points","Stephen Daldry","The Reader","1960-05-02","top 200"
122,"nm0716347","2018-07-09","2018-07-11","8977 points","Nicolas Winding Refn","The Neon Demon","1970-09-29","top 200"
123,"nm0583600","2018-06-28","2018-07-13","8913 points","Nancy Meyers","It's Complicated","1949-12-08","top 200"
124,"nm0002120","2018-06-24","2022-01-22","8848 points","Lasse Hallström","What's Eating Gilbert Grape","1946-06-02","top 200"
125,"nm0001068","2018-06-29","2019-08-15","8845 points","Sofia Coppola","The Godfather Part III","1971-05-14","top 200"
126,"nm0275629","2018-07-09","2018-07-13","8750 points","Glenn Ficarra","I Love You Phillip Morris","","top 200"
127,"nm0720135","2018-07-09","2018-07-13","8750 points","John Requa","I Love You Phillip Morris","","top 200"
128,"nm0000436","2018-06-27","2018-06-27","8611 points","Curtis Hanson","L.A. Confidential","1945-03-24","top 200"
129,"nm1429471","2018-07-07","2018-07-12","8427 points","Jaume Collet-Serra","The Shallows","1974-03-23","top 200"
130,"nm0336620","2018-07-07","2022-11-18","8419 points","F. Gary Gray","Set It Off","1969-07-17","top 200"
131,"nm0000814","2018-06-10","2018-06-16","8223 points","John G. Avildsen","Rocky","1935-12-21","top 200"
132,"nm0291082","2021-09-20","2021-12-25","8143 points","Scott Frank","Logan","1960-03-10","top 200"
133,"nm1698571","2018-07-11","2018-07-12","8118 points","Evan Goldberg","This Is the End","1982-05-11","top 200"
134,"nm0668247","2018-07-01","2018-07-11","8066 points","Alexander Payne","Nebraska","1961-02-10","top 200"
135,"nm0132709","2018-06-26","2018-07-08","8030 points","Martin Campbell","Casino Royale","1943-10-24","top 200"
136,"nm0885249","2018-07-07","2018-07-12","7942 points","Jean-Marc Vallée","C.R.A.Z.Y.","1963-03-09","top 200"
137,"nm0000916","2018-07-11","2021-11-23","7909 points","Peter Berg","Chicago Hope","1964-03-11","top 200"
138,"nm0366004","2021-04-29","2021-04-29","7856 points","Mary Harron","American Psycho","1953-01-12","top 200"
139,"nm0853238","2018-07-09","2018-07-14","7823 points","Tate Taylor","Get on Up","1969-06-03","top 200"
140,"nm0000517","2018-06-07","2018-07-09","7751 points","Terrence Malick","Days of Heaven","1943-11-30","top 200"
141,"nm0587955","2018-07-03","2018-07-12","7694 points","Bennett Miller","Foxcatcher","1966-12-30","top 200"
142,"nm0000431","2018-06-26","2021-04-30","7650 points","Taylor Hackford","Ray","1944-12-31","top 200"
143,"nm0024622","2018-06-27","2018-07-03","7626 points","Alejandro Amenábar","The Others","1972-03-31","top 200"
144,"nm0629272","2018-06-27","2018-07-03","7580 points","Andrew Niccol","Gattaca","1964-06-10","top 200"
145,"nm0313623","2018-07-02","2018-07-14","7568 points","Terry George","Hotel Rwanda","1952-12-20","top 200"
146,"nm0001008","2018-05-19","2018-10-15","7563 points","Frank Capra","It's a Wonderful Life","1897-05-18","top 200"
147,"nm0002031","2018-05-20","2018-05-22","7520 points","Michael Curtiz","Casablanca","1886-12-24","top 200"
148,"nm0001885","2018-06-27","2018-07-09","7514 points","Lars von Trier","Dancer in the Dark","1956-04-30","top 200"
149,"nm0565336","2018-07-02","2018-07-13","7462 points","Tom McCarthy","Win Win","1966-06-07","top 200"
150,"nm0000180","2018-05-22","2018-06-01","7389 points","David Lean","Lawrence of Arabia","1908-03-25","top 200"
151,"nm0000080","2018-05-22","2018-05-29","7363 points","Orson Welles","Citizen Kane","1915-05-06","top 200"
152,"nm0000464","2018-06-17","2018-07-14","7345 points","Jim Jarmusch","Broken Flowers","1953-01-22","top 200"
153,"nm0001081","2018-06-29","2018-06-30","7190 points","Cameron Crowe","Almost Famous","1957-07-13","top 200"
154,"nm0001639","2021-06-03","2021-06-03","7129 points","Alex Proyas","Dark City","1963-09-23","top 200"
155,"nm0640334","2018-07-07","2018-07-09","7121 points","Gavin O'Connor","The Accountant","1963-12-24","top 200"
156,"nm0002044","2018-06-30","2021-03-04","7067 points","Roger Donaldson","The World's Fastest Indian","1945-11-15","top 200"
157,"nm0487166","2018-07-07","2021-05-21","6982 points","Yorgos Lanthimos","The Lobster","1973-09-23","top 200"
158,"nm0267512","2018-07-04","2021-05-14","6926 points","Valerie Faris","Little Miss Sunshine","1958-10-20","top 200"
159,"nm0206760","2018-07-04","2021-05-14","6926 points","Jonathan Dayton","Little Miss Sunshine","1957-07-07","top 200"
160,"nm0868153","2018-06-20","2018-07-11","6892 points","Giuseppe Tornatore","La migliore offerta","1956-05-27","top 200"
161,"nm0319659","2018-07-12","2022-12-14","6836 points","Dan Gilroy","Nightcrawler","1959-06-24","top 200"
162,"nm0942504","2018-07-03","2018-07-10","6785 points","Joe Wright","Pride & Prejudice","1972-08-25","top 200"
163,"nm0000264","2018-06-29","2020-02-09","6655 points","Pedro Almodóvar","Hable con ella","1949-09-25","top 200"
164,"nm0161834","2018-07-08","2018-07-14","6582 points","Derek Cianfrance","Blue Valentine","1974-01-23","top 200"
165,"nm1490123","2018-07-05","2018-07-11","6578 points","James Wan","Saw","1977-02-26","top 200"
166,"nm0000455","2018-06-18","2019-05-14","6559 points","John Hughes","Planes, Trains & Automobiles","1950-02-18","top 200"
167,"nm0000005","2018-05-29","2020-04-23","6487 points","Ingmar Bergman","Persona","1918-07-14","top 200"
168,"nm0001756","2018-06-27","2018-06-27","6465 points","Barry Sonnenfeld","Men in Black","1953-04-01","top 200"
169,"nm0891216","2018-07-09","2018-07-09","6283 points","Matthew Vaughn","Kick-Ass","1971-03-07","top 200"
170,"nm0268380","2021-07-19","2021-07-19","6281points","Peter Farrelly","Green Book","1956-12-17","top 200"
171,"nm0387706","2018-07-05","2022-06-18","6272 points","Gregory Hoblit","Hill Street Blues","1944-11-27","top 200"
172,"nm0000484","2018-06-13","2018-06-20","6240 points","John Landis","The Blues Brothers","1950-08-03","top 200"
173,"nm0001243","2018-06-05","2018-06-07","6197 points","William Friedkin","To Live and Die in L.A.","1935-08-29","top 200"
174,"nm0718645","2018-06-16","2018-07-09","6171 points","Ivan Reitman","Up in the Air","1946-10-27","top 200"
175,"nm0006904","2018-07-05","2018-07-10","6154 points","Tony Gilroy","Michael Clayton","1956-09-11","top 200"
176,"nm0005237","2018-06-27","2018-07-02","6135 points","Anthony Minghella","The Talented Mr. Ripley","1954-01-06","top 200"
177,"nm0001149","2018-06-10","2021-07-09","6049 points","Richard Donner","Superman","1930-04-24","top 200"
178,"nm0001351","2018-06-03","2018-06-07","6008 points","George Roy Hill","The Sting","1921-12-20","top 200"
179,"nm0899121","2018-06-28","2021-06-25","6006 points","Thomas Vinterberg","Jagten","1969-05-19","top 200"
180,"nm0001774","2018-07-06","2018-07-11","5965 points","Ben Stiller","Zoolander","1965-11-30","top 200"
181,"nm0359387","2018-07-07","2021-05-05","5924 points","John Lee Hancock","The Blind Side","1956-12-15","top 200"
182,"nm0107774","2018-07-02","2018-07-02","5910 points","Eric Bress","The Butterfly Effect","","top 200"
183,"nm0000570","2018-06-12","2018-07-02","5883 points","Alan Parker","Evita","1944-02-14","top 200"
184,"nm0384825","2018-07-07","2018-07-10","5789 points","John Hillcoat","The Proposition","1961-08-14","top 200"
185,"nm0003620","2018-06-26","2018-07-06","5774 points","Kevin Smith","Clerks","1970-08-02","top 200"
186,"nm0083348","2018-07-09","2018-07-09","5771 points","Brad Bird","The Incredibles","1957-09-24","top 200"
187,"nm1049433","2018-07-13","2022-06-08","5740 points","Lenny Abrahamson","Room","1966-11-30","top 200"
188,"nm0001379","2018-05-22","2018-06-10","5715 points","John Huston","The Treasure of the Sierra Madre","1906-08-05","top 200"
189,"nm1016428","2018-07-07","2018-07-12","5661 points","James Marsh","The Theory of Everything","1963-04-30","top 200"
190,"nm0003697","2018-07-04","2018-07-04","5601 points","Florian Henckel von Donnersmarck","Das Leben der Anderen","1973-05-02","top 200"
191,"nm0000957","2018-06-25","2018-06-27","5581 points","Jan de Bont","Speed","1943-10-22","top 200"
192,"nm0307497","2018-07-13","2018-07-13","5722 points","Alex Garland","Ex Machina","1970-05-26","top 200"
193,"nm0006487","2018-06-22","2019-03-09","5627 points","Jim Sheridan","In America","1949-02-06","top 200"
194,"nm0026442","2018-07-02","2018-07-07","5548 points","Brad Anderson","Session 9","","top 200"
195,"nm0359734","2018-06-28","2018-07-11","5440 points","Michael Haneke","Caché","1942-03-23","top 200"
196,"nm0000269","2018-06-17","2018-06-30","5429 points","Jean-Jacques Annaud","Der Name der Rose","1943-10-01","top 200"
197,"nm0386570","2018-06-30","2018-07-02","5358 points","Oliver Hirschbiegel","Das Experiment","1957-12-29","top 200"
198,"nm0777881","2018-07-08","2022-11-20","5327 points","Robert Schwentke","Der Hauptmann","","top 200"
199,"nm0943758","2018-05-23","2018-05-30","5309 points","William Wyler","Ben-Hur","1902-07-01","top 200"
200,"nm1410815","2018-07-08","2018-07-14","5242 points","Asghar Farhadi","Forushande","1972-05-07","top 200"
201,"nm0000123","2018-07-01","2018-07-09","5236 points","George Clooney","The Ides of March","1961-05-06","top 500"
202,"nm0400441","2018-07-08","2021-05-25","5179 points","Allen Hughes","The Book of Eli","1972-04-01","top 500"
203,"nm0001188","2018-06-24","2018-07-07","5149 points","Nora Ephron","Julie & Julia","1941-05-19","top 500"
204,"nm0001628","2018-06-10","2018-07-03","5141 points","Sydney Pollack","Tootsie","1934-07-01","top 500"
205,"nm1291105","2018-07-05","2018-07-10","5108 points","J.A. Bayona","El orfanato","1975-05-09","top 500"
206,"nm1509478","2021-09-07","2021-09-08","5075 points","Benny Safdie","Good Time","1986-02-24","top 500"
207,"nm1343394","2021-09-07","2021-09-08","5075 points","Josh Safdie","Good Time","1984-04-03","top 500"
208,"nm0637518","2018-06-29","2018-07-08","5032 points","Phillip Noyce","Rabbit-Proof Fence","1950-04-29","top 500"
209,"nm0000485","2018-05-17","2021-04-13","5023 points","Fritz Lang","Le mépris","1890-12-05","top 500"
210,"nm0081540","2018-07-04","2021-12-17","5010 points","Susanne Bier","Hævnen","1960-04-15","top 500"
211,"nm0177896","2022-02-11","2022-02-11","4995 points","Bradley Cooper","A Star Is Born","1975-01-05","top 500"
212,"nm0001047","2018-06-12","2018-06-12","4884 points","Michael Cimino","The Deer Hunter","1939-02-03","top 500"
213,"nm0958387","2018-06-23","2020-08-19","4857 points","Jerry Zucker","Airplane!","1950-03-11","top 500"
214,"nm0001317","2021-07-07","2021-07-07","4838 points","Renny Harlin","Driven","1959-03-15","top 500"
215,"nm0006960","2018-06-28","2018-07-09","4814 points","John Madden","Shakespeare in Love","1949-04-08","top 500"
216,"nm0000876","2018-07-03","2021-05-16","4729 points","Noah Baumbach","The Squid and the Whale","1969-09-03","top 500"
217,"nm0000019","2018-05-27","2018-06-07","4727 points","Federico Fellini","Le notti di Cabiria","1920-01-20","top 500"
218,"nm0612322","2018-05-31","2018-05-31","4668 points","Robert Mulligan","To Kill a Mockingbird","1925-08-23","top 500"
219,"nm0318916","2018-07-05","2021-05-07","4666 points","Craig Gillespie","I, Tonya","1967-09-01","top 500"
220,"nm1053530","2018-07-07","2018-07-14","4665 points","Tom Ford","A Single Man","1961-08-27","top 500"
221,"nm0000985","2018-06-16","2018-06-27","4611 points","James L. Brooks","Broadcast News","1940-05-09","top 500"
222,"nm1349522","2018-07-09","2018-07-09","4600 points","Jonathan Levine","50/50","","top 500"
223,"nm0603628","2018-07-06","2018-07-06","4598 points","Pierre Morel","Banlieue 13","1964-05-12","top 500"
224,"nm0138809","2018-07-05","2018-07-14","4572 points","John Carney","Sing Street","","top 500"
225,"nm0000386","2018-07-02","2018-07-02","4571 points","Roland Emmerich","Independence Day","1955-11-10","top 500"
226,"nm0001241","2018-06-20","2020-12-04","4457 points","Stephen Frears","Dangerous Liaisons","1941-06-20","top 500"
227,"nm0466349","2018-07-10","2021-07-12","4456 points","Baltasar Kormákur","Mýrin","1966-02-27","top 500"
228,"nm0000568","2018-06-17","2021-05-01","4434 points","Frank Oz","The Muppet Show","1944-05-25","top 500"
229,"nm0001402","2018-06-12","2018-06-12","4427 points","Terry Jones","Monty Python and the Holy Grail","1942-02-01","top 500"
230,"nm0000976","2018-06-20","2018-06-24","4408 points","Martin Brest","Scent of a Woman","1951-08-08","top 500"
231,"nm0531817","2018-07-04","2018-07-07","4355 points","Kevin Macdonald","The Mauritanian","1967-10-28","top 500"
232,"nm0000277","2018-06-11","2018-06-24","4340 points","Richard Attenborough","Jurassic Park","1923-08-29","top 500"
233,"nm0400436","2018-07-08","2021-05-25","4330 points","Albert Hughes","The Book of Eli","1972-04-01","top 500"
234,"nm0357891","2018-05-31","2018-06-07","4329 points","Guy Hamilton","Live and Let Die","1922-09-16","top 500"
235,"nm0001415","2018-05-26","2018-05-28","4266 points","Elia Kazan","On the Waterfront","1909-09-07","top 500"
236,"nm0923736","2018-07-03","2018-07-03","4151 points","Joss Whedon","Buffy the Vampire Slayer","1964-06-23","top 500"
237,"nm0002045","2018-05-27","2018-06-03","4129 points","Stanley Donen","Charade","1924-04-13","top 500"
238,"nm0939182","2018-06-25","2018-07-06","4089 points","Kar-Wai Wong","Yi dai zong shi","1956-07-17","top 500"
239,"nm1079062","2021-05-24","2021-05-26","4051 points","Oriol Paulo","El cuerpo","","top 500"
240,"nm0836328","2018-05-30","2018-05-31","4006 points","John Sturges","The Great Escape","1910-01-03","top 500"
241,"nm0797869","2018-06-28","2018-07-03","3978 points","Brad Silberling","City of Angels","1963-09-08","top 500"
242,"nm0711840","2021-08-27","2021-08-27","3970 points","Brett Ratner","Red Dragon","1969-03-28","top 500"
243,"nm0431918","2021-10-13","2021-10-13","3965 points","Mike Judge","Beavis and Butt-Head Do America","1962-10-17","top 500"
244,"nm0000316","2018-06-09","2020-09-02","3903 points","Mel Brooks","Spaceballs","1926-06-28","top 500"
245,"nm2158772","2018-07-10","2019-02-01","3888 points","Jeff Nichols","Take Shelter","1978-12-07","top 500"
246,"nm0000406","2018-05-21","2019-06-06","3884 points","John Ford","The Quiet Man","1894-02-01","top 500"
247,"nm0001331","2018-07-01","2021-03-05","3877 points","Todd Haynes","Far from Heaven","1961-01-02","top 500"
248,"nm0715636","2018-07-06","2018-07-06","3824 points","Peyton Reed","Ant-Man","1964-07-03","top 500"
249,"nm1630273","2018-07-06","2018-07-09","3811 points","Phyllida Lloyd","Mamma Mia!","1957-06-17","top 500"
