"Position","Const","Created","Modified","Description","Name","Known.For","Birth.Date","rank_category"
494,"nm0000209","2018-06-26","2018-06-26","1156 points","Tim Robbins","Mystic River","1958-10-16","top 500"
495,"nm0000953","2018-06-07","2018-06-16","1153 points","Peter Bogdanovich","The Last Picture Show","1939-07-30","top 500"
496,"nm4627221","2022-12-15","2022-12-15","1150 points","Darin J. Sallam","Farha","","top 500"
497,"nm0404606","2018-06-02","2019-09-24","1140 points","Brian G. Hutton","Where Eagles Dare","1929-05-02","top 500"
498,"nm0712947","2018-05-28","2018-05-28","1138 points","Nicholas Ray","Rebel Without a Cause","1911-08-07","top 500"
499,"nm0748066","2018-07-10","2018-07-10","1131 points","Henry Alex Rubin","Murderball","","top 500"
500,"nm1312919","2018-07-12","2022-09-09","1127 points","Yann Demange","'71","","top 500"
501,"nm1950086","2020-03-09","2020-03-09","1123 points","Greta Gerwig","Lady Bird","1983-08-04","top 1000"
502,"nm0001345","2018-06-17","2018-06-17","1115 points","Jim Henson","The Muppet Show","1936-09-24","top 1000"
503,"nm1716636","2022-06-18","2022-06-18","1111 points","Marielle Heller","The Diary of a Teenage Girl","1979-10-01","top 1000"
504,"nm1128037","2018-07-12","2018-07-14","1105 points","Ruben Östlund","Triangle of Sadness","1974-04-13","top 1000"
505,"nm1314116","2018-07-07","2018-07-07","1103 points","Saul Dibb","Suite Française","","top 1000"
506,"nm0164187","2022-08-18","2022-08-18","1102 points","Larry Clark","Bully","1943-01-19","top 1000"
507,"nm1168657","2018-07-02","2018-07-12","1091 points","Andrey Zvyagintsev","Leviafan","1964-02-06","top 1000"
508,"nm0592135","2022-02-09","2022-02-09","1085 points","Lin-Manuel Miranda","Hamilton","1980-01-16","top 1000"
509,"nm0138927","2018-07-01","2018-07-03","1083 points","Niki Caro","Whale Rider","1966-09-20","top 1000"
510,"nm0590122","2018-07-08","2018-07-08","1076 points","Mike Mills","Beginners","","top 1000"
511,"nm0959034","2021-10-10","2021-10-10","1075 points","Joel Zwick","My Big Fat Greek Wedding","1942-01-11","top 1000"
512,"nm0149196","2018-07-09","2018-07-12","1069 points","Nuri Bilge Ceylan","Bir Zamanlar Anadolu'da","1959-01-26","top 1000"
513,"nm0001460","2018-06-30","2018-06-30","1063 points","Mimi Leder","The Morning Show","1952-01-26","top 1000"
514,"nm0914132","2018-07-03","2018-07-03","1052 points","Mark Waters","(500) Days of Summer","1964-06-30","top 1000"
515,"nm0001281","2018-07-09","2018-07-09","1046 points","Bobcat Goldthwait","Scrooged","1962-05-26","top 1000"
516,"nm0005101","2022-12-19","2022-12-19","1046 points","Harmony Korine","Gummo","1973-01-04","top 1000"
517,"nm2905562","2018-07-07","2018-07-07","1041 points","Daniel Barber","Harry Brown","","top 1000"
518,"nm0705535","2018-06-16","2022-07-02","1036 points","Michael Radford","Nineteen Eighty-Four","1946-02-24","top 1000"
519,"nm0001887","2021-01-16","2021-01-16","1034 points","Paul Brickman","Risky Business","1949-04-23","top 1000"
520,"nm0281396","2018-07-04","2018-07-04","1029 points","Ryan Fleck","Half Nelson","1976-09-20","top 1000"
521,"nm0006889","2018-06-16","2018-06-22","1024 points","Herbert Ross","Play It Again, Sam","1927-05-13","top 1000"
522,"nm0001361","2018-06-14","2018-06-14","1019 points","Tobe Hooper","The Texas Chain Saw Massacre","1943-01-25","top 1000"
523,"nm0070594","2018-07-10","2018-07-10","1017 points","Malik Bendjelloul","Searching for Sugar Man","1977-09-14","top 1000"
524,"nm1503403","2018-07-03","2018-07-03","1015 points","Shane Carruth","Upstream Color","","top 1000"
525,"nm1077168","2022-02-09","2022-02-09","1011 points","Yann Samuell","Jeux d'enfants","1965-06-07","top 1000"
526,"nm1166926","2018-07-02","2018-07-02","1000 points","Vadim Perelman","House of Sand and Fog","","top 1000"
527,"nm2304675","2022-09-11","2022-09-11","990 points","Lulu Wang","The Farewell","","top 1000"
528,"nm1404307","2022-02-09","2022-02-09","983 points","Simon Stone","The Daughter","1985-08-19","top 1000"
529,"nm0122427","2021-06-15","2021-06-15","979 points","Rob Burnett","The Fundamentals of Caring","1962-07-08","top 1000"
530,"nm0000419","2018-05-30","2019-08-26","975 points","Jean-Luc Godard","Bande à part","1930-12-03","top 1000"
531,"nm0587518","2018-06-14","2018-06-14","974 points","John Milius","Conan the Barbarian","1944-04-11","top 1000"
532,"nm0787601","2018-07-01","2018-07-01","968 points","Steven Shainberg","Secretary","1963-02-05","top 1000"
533,"nm0951975","2021-12-19","2021-12-19","959 points","S. Craig Zahler","Bone Tomahawk","1973-01-23","top 1000"
534,"nm0744035","2018-05-30","2018-05-30","954 points","Robert Rossen","The Hustler","1908-03-16","top 1000"
535,"nm0001754","2018-06-28","2018-06-28","953 points","Todd Solondz","Welcome to the Dollhouse","1959-10-15","top 1000"
536,"nm0429964","2018-07-08","2018-07-08","948 points","Gregor Jordan","Two Hands","","top 1000"
537,"nm0466153","2020-05-23","2020-05-23","945 points","Hirokazu Koreeda","Manbiki kazoku","1962-06-06","top 1000"
538,"nm0413875","2018-06-24","2018-06-24","942 points","Mick Jackson","Volcano","1943-10-04","top 1000"
539,"nm1033517","2020-01-13","2020-01-13","927 points","Ariel Vromen","The Iceman","1973-02-14","top 1000"
540,"nm0001915","2018-06-24","2018-06-24","921 points","Emile Ardolino","Dirty Dancing","1943-05-09","top 1000"
541,"nm0916424","2018-07-02","2018-07-02","917 points","Peter Webber","Girl with a Pearl Earring","","top 1000"
542,"nm0002191","2021-12-10","2021-12-10","908 points","Jacques Audiard","De rouille et d'os","1952-04-30","top 1000"
543,"nm1023919","2022-09-19","2022-09-19","908 points","Ramin Bahrani","99 Homes","1975-03-20","top 1000"
544,"nm0420422","2018-07-07","2018-07-07","904 points","Christine Jeffs","Sunshine Cleaning","1963-01-29","top 1000"
545,"nm0600409","2018-07-07","2018-07-07","894 points","Daniel Monzón","Celda 211","","top 1000"
546,"nm0002645","2020-12-08","2020-12-08","884 points","Paolo Genovese","Perfetti sconosciuti","1966-08-20","top 1000"
547,"nm0003433","2018-05-17","2021-04-12","881 points","Carl Theodor Dreyer","La passion de Jeanne d'Arc","1889-02-03","top 1000"
548,"nm0587277","2018-05-18","2018-05-18","877 points","Lewis Milestone","All Quiet on the Western Front","1895-09-30","top 1000"
549,"nm1047532","2022-04-10","2022-04-10","862 points","Brian Kirk","21 Bridges","","top 1000"
550,"nm0284369","2018-07-07","2018-07-07","860 points","Ari Folman","The Congress","1962-12-17","top 1000"
551,"nm0614682","2018-07-08","2018-07-08","855 points","Ryan Murphy","Glee","1965-11-09","top 1000"
552,"nm0612816","2018-07-06","2018-07-06","847 points","Cristian Mungiu","4 luni, 3 saptamâni si 2 zile","1968-04-27","top 1000"
553,"nm0774325","2018-05-19","2018-05-19","841 points","Ernest B. Schoedsack","Dr. Cyclops","1893-06-08","top 1000"
554,"nm0178260","2018-05-19","2018-05-19","841 points","Merian C. Cooper","King Kong","1893-10-24","top 1000"
555,"nm0927468","2018-05-17","2018-05-17","837 points","Robert Wiene","Das Cabinet des Dr. Caligari","1873-04-24","top 1000"
556,"nm0637615","2018-07-01","2018-07-01","836 points","Gaspar Noé","Enter the Void","1963-12-27","top 1000"
557,"nm0000382","2018-07-07","2018-07-07","834 points","Atom Egoyan","The Sweet Hereafter","1960-07-19","top 1000"
558,"nm0573796","2018-06-28","2018-06-28","832 points","John McNaughton","Henry: Portrait of a Serial Killer","1950-01-13","top 1000"
559,"nm3133017","2022-08-28","2022-08-28","830 points","Mehmet Ada Öztekin","Yedinci Kogustaki Mucize","","top 1000"
560,"nm1883257","2018-07-14","2018-07-14","826 points","Pablo Larraín","El Club","1976-08-19","top 1000"
561,"nm0001178","2018-05-17","2018-05-17","819 points","Sergei Eisenstein","Aleksandr Nevskiy","1898-01-22","top 1000"
562,"nm5029795","2022-08-14","2022-08-14","819 points","Jeymes Samuel","The Harder They Fall","","top 1000"
