Position,Points,Name,Known.For,Birth.Date
252,15124,Vin Diesel,Guardians of the Galaxy,18/07/1967
253,15091,Alfred Molina,Spider-Man 2,24/05/1953
254,15020,Sharlto Copley,District 9,27/11/1973
255,15013,Eddie Redmayne,Les Misérables,06/01/1982
256,14998,Paul Newman,The Hustler,26/01/1925
257,14880,Matthew Goode,Stoker,03/04/1978
258,14860,Ed Helms,The Hangover,24/01/1974
259,14860,Justin Bartha,National Treasure,21/07/1978
260,14822,Robert Redford,The Natural,18/08/1936
261,14731,Tobey Maguire,Brothers,27/06/1975
262,14678,Kenneth Branagh,Henry V,10/12/1960
263,14661,Chris Evans,The Avengers,13/06/1981
264,14520,Sylvester Stallone,Rocky,06/07/1946
265,14481,Martin Balsam,All the President's Men,04/11/1919
266,14362,Claude Rains,Casablanca,1889-11-10
267,14240,Gael García Bernal,Mozart in the Jungle,30/11/1978
268,14227,Andrew Garfield,Hacksaw Ridge,20/08/1983
269,14118,Karl Markovics,Die Fälscher,29/08/1963
270,14055,Lee Van Cleef,Escape from New York,09/01/1925
271,14044,Humphrey Bogart,Casablanca,1899-12-25
272,14030,Adam Baldwin,Serenity,27/02/1962
273,13981,Richard Jenkins,The Shape of Water,04/05/1947
274,13533,Stephen Baldwin,The Usual Suspects,12/05/1966
275,13456,Bruno Ganz,Der Untergang,22/03/1941
276,13294,Justin Theroux,Mulholland Dr.,10/08/1971
277,13149,Jason Robards,All the President's Men,26/07/1922
278,13095,Djimon Hounsou,Blood Diamond,24/04/1964
279,13085,Oliver Reed,Gladiator,13/02/1938
280,12993,Billy Crudup,Almost Famous,08/07/1968
281,12935,Florian Lukas,Good Bye Lenin!,16/03/1973
282,12826,Tom Skerritt,Alien,25/08/1933
283,12767,Michael Peña,American Hustle,13/01/1976
284,12757,Jim Sturgess,21,16/05/1978
285,12706,Jim Caviezel,The Passion of the Christ,26/09/1968
286,12615,Jack Warden,...and justice for all.,18/09/1920
287,12476,Charles Chaplin,The Great Dictator,1889-04-16
288,12445,James McAvoy,Filth,21/04/1979
289,12284,Channing Tatum,21 Jump Street,26/04/1980
290,12223,Roberto Benigni,La vita è bella,27/10/1952
291,12154,Richard Dreyfuss,The Goodbye Girl,29/10/1947
292,12154,James D'Arcy,Cloud Atlas,24/08/1975
293,11989,Malcolm McDowell,A Clockwork Orange,13/06/1943
294,11962,Peter Lorre,M - Eine Stadt sucht einen Mörder,26/06/1904
295,11849,Armin Mueller-Stahl,Eastern Promises,17/12/1930
296,11783,Bill Pullman,Independence Day,17/12/1953
297,11720,James Garner,The Notebook,07/04/1928
298,11697,Robert Shaw,A Man for All Seasons,09/08/1927
299,11627,Thomas Mitchell,Stagecoach,1892-07-11
300,11420,William Atherton,Die Hard,30/07/1947
301,11374,Dan Aykroyd,Ghostbusters,01/07/1952
302,11371,Giancarlo Giannini,Quantum of Solace,01/08/1942
303,11306,Diego Luna,Rogue One,29/12/1979
304,11240,Gregory Peck,To Kill a Mockingbird,05/04/1916
305,11209,Roy Scheider,Jaws,10/11/1932
306,11180,Mickey Rourke,Sin City,16/09/1952
307,11167,Danny Glover,Lethal Weapon,22/07/1946
308,11140,Dave Franco,Neighbors,12/06/1985
309,11113,Aksel Hennie,Max Manus,29/10/1975
310,11088,Richard Gere,Chicago,31/08/1949
311,11029,François Cluzet,Intouchables,21/09/1955
312,10978,Dennis Quaid,Far from Heaven,09/04/1954
313,10930,Cary Grant,Charade,18/01/1904
314,10902,James Gandolfini,The Sopranos,18/09/1961
315,10900,Frank Langella,Frost/Nixon,01/01/1938
316,10900,Nicholas Hoult,About a Boy,07/12/1989
317,10871,Matthew Macfadyen,Succession,17/10/1974
318,10856,Burghart Klaußner,Die fetten Jahre sind vorbei,13/09/1949
319,10767,Jamie Bell,Billy Elliot,14/03/1986
320,10752,Dennis Hopper,Easy Rider,17/05/1936
321,10734,Jürgen Prochnow,Das Boot,10/06/1941
322,10706,Neil Patrick Harris,How I Met Your Mother,15/06/1973
323,10696,Timothée Chalamet,Call Me by Your Name,27/12/1995
324,10685,Armie Hammer,The Social Network,28/08/1986
325,10441,Mads Mikkelsen,Hannibal,22/11/1965
326,10306,Sam Neill,Jurassic Park,14/09/1947
327,10299,Omar Sy,Intouchables,20/01/1978
328,10289,Peter Sellers,Being There,08/09/1925
329,10278,William Holden,Stalag 17,17/04/1918
330,10223,Gérard Depardieu,Cyrano de Bergerac,27/12/1948
331,10163,Leonard Nimoy,Star Trek IV: The Voyage Home,26/03/1931
332,10084,Patrick Wilson,The Phantom of the Opera,03/07/1973
333,10059,Horst Buchholz,La vita è bella,04/12/1933
334,10041,Josh Hartnett,Lucky Number Slevin,21/07/1978
335,9930,Woody Allen,Manhattan,30/11/1935
336,9917,Jack Black,School of Rock,28/08/1969
337,9818,Orson Welles,Citizen Kane,06/05/1915
338,9818,Adam Driver,Star Wars: Episode VII - The Force Awakens,19/11/1983
339,9796,Peter O'Toole,Lawrence of Arabia,02/08/1932
340,9728,Anthony Perkins,Psycho,04/04/1932
341,9705,Takashi Shimura,Shichinin no samurai,12/03/1905
342,9677,John Cusack,Grosse Pointe Blank,28/06/1966
