"item","max.factor","max.value"
"5680",1,-0.0309834838136795
"4773",1,-0.0308833079254121
"4946",1,-0.0308094386210784
"993",1,-0.0307872379146881
"5553",1,-0.0306675891145979
"5325",1,-0.0306036591037622
"4996",1,-0.0305838896849827
"3748",1,-0.0305075178972762
"3833",1,-0.0304916867169033
"6445",1,-0.030453407787905
"5280",1,-0.0303804239548567
"5182",1,-0.030377822906067
"4188",1,-0.0303717620123158
"1515",1,-0.0302879034959398
"2836",1,-0.0302687409503765
"4538",1,-0.0302623911482383
"5840",1,-0.0301737056776535
"5451",1,-0.030160973305709
"5937",1,-0.0300897505862958
"683",1,-0.0300363413558187
"5895",1,-0.0300084018711574
"5585",1,-0.0299486162039833
"1639",1,-0.0299322501408659
"239",1,-0.0298635457890819
"4903",1,-0.0298225014987343
"2630",1,-0.029821290347761
"4856",1,-0.0297786648872263
"6342",1,-0.0297627289779621
"302",1,-0.0297123570318665
"3248",1,-0.0296645653559881
"2594",1,-0.029569955329996
"6350",1,-0.0294158179789304
"5979",1,-0.0293884498232266
"5357",1,-0.029330591540922
"3710",1,-0.0293064621668826
"2130",1,-0.0291864847557246
"5581",1,-0.0291634378862479
"5455",1,-0.0291389563926288
"1469",1,-0.0291005037590181
"5509",1,-0.0290794163667236
"781",1,-0.0290757304984978
"1326",1,-0.0290561186141168
"155",1,-0.0290405118431579
"5480",1,-0.0290388670758354
"4522",1,-0.0290343702369591
"5906",1,-0.0289720643625251
"6051",1,-0.0289439997847901
"161",1,-0.028930450787583
"4981",1,-0.0289014638498664
"3514",1,-0.0288918341126229
"3165",1,-0.0288858477397572
"4316",1,-0.0288814783384376
"5869",1,-0.028757811527305
"6287",1,-0.0286181824425572
"2880",1,-0.0286153297715619
"85",1,-0.0286112783026088
"3459",1,-0.0285739251154863
"1387",1,-0.0285475895098531
"3252",1,-0.0284966927445161
"4706",1,-0.0284659303958975
"3296",1,-0.0284478491704682
"5758",1,-0.0283848948676923
"2252",1,-0.0283559550703155
"3325",1,-0.0283241393013244
"539",1,-0.0282938643820092
"3239",1,-0.0281911772692341
"3518",1,-0.0281896920886755
"2512",1,-0.0281767411942062
"2745",1,-0.0281220301119643
"4623",1,-0.0279631225485673
"5912",1,-0.0279413710767201
"2781",1,-0.0279322043885221
"6261",1,-0.0278749776312026
"6182",1,-0.0278655872407524
"324",1,-0.0278525640079774
"5953",1,-0.0278406961058993
"6152",1,-0.0278365257941773
"5796",1,-0.0277959048262893
"65",1,-0.0277693625148956
"4784",1,-0.027707772771802
"4178",1,-0.0276191649852819
"5597",1,-0.0275879602626995
"2969",1,-0.0275287936037892
"5795",1,-0.0274566594797111
"5816",1,-0.0274396145177276
"2981",1,-0.0274392788573665
"4242",1,-0.027432182446257
"4094",1,-0.0274277885519778
"3890",1,-0.0274254888599254
"4652",1,-0.0274252531637635
"6079",1,-0.0274214265579026
"1944",1,-0.0273959417271392
"1773",1,-0.027343351204615
"153",1,-0.0273241484249051
"5271",1,-0.0272089227620981
"5835",1,-0.0271635305474538
"5831",1,-0.0271595038680278
"5489",1,-0.0271244364734488
"6135",1,-0.0271237715844926
"1194",1,-0.0271230112968529
"4377",1,-0.0271157554181658
"5452",1,-0.0270961357984823
"6212",1,-0.0270887805264327
"364",1,-0.0269257414387917
"2708",1,-0.0268903061550131
"6101",1,-0.0268116034005199
"6124",1,-0.0267797850394559
"3714",1,-0.0267500227323201
"2839",1,-0.0267377750612546
"4914",1,-0.026723542398912
"1350",1,-0.0267142500922804
"5467",1,-0.0267011700371591
"4542",1,-0.0266529762299187
"4655",1,-0.0266522007227649
"1553",1,-0.0266066462998686
"113",1,-0.0265990788459666
"5963",1,-0.0265798582187354
"4716",1,-0.0265550840460086
"4664",1,-0.0265490153495099
"385",1,-0.0265261104270909
"4008",1,-0.0264821877859599
"2174",1,-0.0264640267157843
"6300",1,-0.0264530768431065
"4756",1,-0.0264399548462165
"2219",1,-0.0264242128679936
"1556",1,-0.0264168815482391
"2362",1,-0.026401787441472
"5382",1,-0.0263823639935046
"3504",1,-0.0263797813118648
"6306",1,-0.0263768118889523
"990",1,-0.0263396022121132
"4092",1,-0.0262523220487659
"267",1,-0.026220610243374
"2885",1,-0.0262087066235068
"2691",1,-0.0261904443503709
"1588",1,-0.0261596043715781
"574",1,-0.026113327477614
"3557",1,-0.0261083963249993
"5704",1,-0.0260925860433882
"1047",1,-0.0260890517211895
"4560",1,-0.0260842962042951
"2088",1,-0.0259878377744861
"3209",1,-0.0259695470498839
"1519",1,-0.0259568784277873
"2313",1,-0.025945329754808
"1426",1,-0.0259074076421176
"912",1,-0.0258830512622745
"5479",1,-0.025850270940302
"1495",1,-0.0257809345445135
"1833",1,-0.0257142240508625
"4175",1,-0.0256990744699069
"5150",1,-0.0256891163045336
"522",1,-0.0256562403266171
"1425",1,-0.0256413579811228
"4152",1,-0.0256412519499124
"1105",1,-0.0255944186358301
"1241",1,-0.0254873219449368
"266",1,-0.0254673614182313
"416",1,-0.0254667575588718
"1985",1,-0.0254125437875066
"1286",1,-0.025367024355372
"3590",1,-0.0252602059038255
"186",1,-0.0251501535271265
"2245",1,-0.0251276331149445
"227",1,-0.0251141608291065
"919",1,-0.0251049389351541
"3702",1,-0.0250385105175673
