show_id,title,Likes,Languages,Genres,Descriptions
s82,Kate,74%,,,"Slipped a fatal poison on her final job, a ruthless Tokyo assassin has less than 24 hours to find out who ordered the hit and exact revenge."
s83,Lucifer,95%,English," Comedy drama, Police procedural, Urban fantasy, Mystery, Occult detective fiction, Crime TV genre","Based on characters created by Neil Gaiman, Sam Kieth and Mike Dringenberg, this series follows Lucifer, the original fallen angel, who has become dissatisfied with his life in hell. After abandoning his throne and retiring to Los Angeles, Lucifer indulges in his favorite things (women, wine and song) -- until a murder takes place outside of his upscale nightclub. For the first time in billions of years, the murder awakens something unfamiliar in Lucifer's soul that is eerily similar to compassion and sympathy. Lucifer is faced with another surprise when he meets an intriguing homicide detective named Chloe, who appears to possess an inherent goodness -- unlike the worst of humanity, to which he is accustomed. Suddenly, Lucifer starts to wonder if there is hope for his soul.â€¦\xa0MORE"
s84,Metal Shop Masters,61%,,,Seven of America's top welding legends battle for the title of Metal Shop Master.
s86,PokÃ©mon Master Journeys: The Series,,,,"PokÃ©mon Master Journeys: The Series is the twenty-fourth season of the PokÃ©mon animated series, and the second season of PokÃ©mon Journeys: The Series, known in Japan as Pocket Monsters. Wikipedia"
s87,Prey,87%,,,"A skilled Comanche warrior protects her tribe from a highly evolved alien predator that hunts humans for sport, fighting against wilderness, dangerous colonisers and this mysterious creature to keep her people safe."
s131,Barbie Big City Big Dreams,72%,,,Barbie swaps the sunny shores of Malibu for the bright lights of Broadway to attend an exclusive summer performing arts programme and meets Barbie. The two friends soon discover they share more than a name.
s133,Brave Animated Series,,,,"A group of superheroes sets out to rid the world of evil, only to realize they may not be standing on the side of justice."
s148,How to Be a Cowboy,85%,,,"Dale Brisby keeps cowboy traditions alive through the power of social media and rodeo skills; now, he's teaching the world how to be a cowboy the right way."
s182,Turning Point: 9/11 and the War on Terror,90%,English,Television documentary,"Chronicling events of Sept. 11, 2001, with interviews from administration officials, ex-CIA members, U.S. veterans, Afghanistan National Army soldiers, Taliban commanders, Afghan government officials, Afghan warlords, Afghan civilians and survivors."
s1697,Polly Pocket,,,,
s903,Mine,72%,,,"After botching an assassination attempt, sniper Mike Stevens escapes into the desert but steps on a mine. He must stay in the same spot for 52 hours awaiting rescue while facing the harsh conditions."
s904,Nayattu,89%,,,"Three police officers go on the run after being framed for a crime by corrupt officials. Against the backdrop of dirty politics and bureaucracy, they strive to avoid being arrested."
s906,Super Me,49%," Chinese, Mandarin",,A struggling screenwriter discovers his lucrative ability to bring antiques from his dreams into the real world -- but his new life soon unravels.
s909,Jupiter's Legacy,72%,English," Superhero fiction, Drama",The super-powered children of superheroes struggle to live up to the legendary feats of their parents.
s910,Milestone,,,,
s911,Monster,,,,
s913,The Circle - The Afterparty,,,,"Stars of The Circle drop by to discuss Season 2's big winner, some juicy behind-the-scenes gossip and their enduring friendships with one another."
s919,Lava Ka Dhaava,42%,Hindi,,"Javed Jaffrey brings his signature humour to this game show, in which teams navigate rooms flooded with make-believe lava."
s920,The Sons of Sam: A Descent into Darkness,80%,English,Television documentary,Author Maury Terry becomes convinced that serial killer David Berkowitz did not act alone and tries to prove that the web of darkness behind the Son of Sam murders goes deeper than anyone imagined -- and his investigation costs him everything.
s924,Trash Truck,76%,English,,"Six-year-old Hank and his best pal, a giant trash truck, go on lots of adventures, from learning how to fly to going to the movies."
s827,Bo Burnham: Inside,97%,,,"Comedian Bo Burnham shoots and performs a comedy special over the course of a year, all alone, with no crew or audience."
s828,One Lagos Night,62%,,,A desperate man attempts to burglarize the home of a wealthy woman but finds himself face to face with a crew of armed robbers who has the same idea.
s830,Dog Gone Trouble,69%,,,A pampered dog named Trouble must learn to live in the real world while trying to escape from his former owner's greedy children.
s831,The Kominsky Method,92%,," Sitcom, Comedy drama","He may be in his twilight years, but aging acting coach Sandy Kominsky isn't ready to ride off into the sunset just yet. The once-famous Kominsky and his longtime agent, Norman Newlander, keep each other laughing as they tackle the curveballs that life throws at them while navigating their later years in Los Angeles, a city that values youth and beauty. The Netflix original sitcom has a strong Hollywood pedigree; it was created by multiple Emmy winner Chuck Lorre and stars Oscar winners Michael Douglas and Alan Arkin as Kominsky and Newlander, respectively.â€¦\xa0MORE"
s832,The Least Expected Day: Inside the Movistar Team 2019,80%,,,"Pro cycling's Movistar Team sets their sights on victory while on the road as they face challenges, controversy and internal conflict."
s833,Word of Honor,92%,," Wuxia, History, Adventure, Mystery",The disillusioned leader of a royal praetorian secret service takes drastic measures to leave his former life behind and enter the world of martial arts.
s834,Black Space,73%,Hebrew,,A rogue detective with unorthodox means leads an investigation into a massacre committed by unicorn mask-wearing assassins at an Israeli high school.
s835,Blue Miracle,84%,,,"To save their cash-strapped orphanage, a guardian and his kids partner with a washed-up boat captain for a chance to win a lucrative fishing competition."
s836,Eden,,,,
s837,Ghost Lab,69%,Thai,,"After witnessing a haunting in their hospital, two doctors become dangerously obsessed with obtaining scientific proof that ghosts exist."
s838,Ragnarok,,,,"In Norse mythology, RagnarÃ¶k is a series of events, including a great battle, foretelling the death of numerous great figures, natural disasters, and the submersion of the world in water. Wikipedia"
s839,Soy Rada: Serendipity,,Spanish,,"Fast-talking Argentine comic AgustÃ­n AristarÃ¡n puts the spotlight on family, parenting, magic, and music in a pandemic-emptied theatre."
s841,Baggio: The Divine Ponytail,72%,,,"A chronicle of the 22-year career of soccer star Roberto Baggio, including his difficult debut as a player and his deep rifts with some of his coaches."
s842,Gatao - The Last Stray,78%,,,Romance unexpectedly blossoms when a freelance photographer arrives late to her assignment at a full moon celebration thrown for a mob boss's newborn.
s843,High on the Hog: How African American Cuisine Transformed America,89%,English,Television documentary,"Food writer Stephen Satterfield traces the origins of African-American cuisine, tracing its through lines from Africa to Texas."
s845,Nail Bomber: Manhunt,,,,Nail Bomber: Manhunt is a 2021 Netflix Original true crime documentary film about the 1999 London nail bombings. Wikipedia
s848,Mad for Each Other,89%,Korean," Romance, Comedy","A man and a woman who live next door to each other realize they also share a psychiatrist, and they can't seem to stay out of each other's way."
s849,Master of None,87%,English," Romantic comedy, Comedy drama","Comic Aziz Ansari and writer Alan Yang are the creators of this Netflix-original comedy, which is loosely based on Ansari's real-life experiences. Ansari plays the role of Dev, a New York-based actor who is struggling to identify what he really wants, both personally and professionally. The series reveals glimpses of Dev's younger years, and explores current aspects of his life, including modern etiquette (regarding texting and social media), and being young and single in the city. Other important people in Dev's life are featured, including Dev's parents, played by Ansari's real-life mother and father, Fatima and Shoukath.â€¦\xa0MORE"
s851,99 Songs,59%,Hindi,,"A musician must compose 100 songs in order to reunite with his lover. However, his journey of heartbreak, redemption, loss and faith allows him to discover much more than love."
s852,99 Songs (Tamil),59%,Hindi,,"A musician must compose 100 songs in order to reunite with his lover. However, his journey of heartbreak, redemption, loss and faith allows him to discover much more than love."
s853,99 Songs (Telugu),59%,Hindi,,"A musician must compose 100 songs in order to reunite with his lover. However, his journey of heartbreak, redemption, loss and faith allows him to discover much more than love."
s854,Army of the Dead,68%,,,"After a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble and venture into the quarantine zone in hopes of pulling off an impossible heist."
s855,Creating an Army of the Dead,,English,,"Zack Snyder and his ""Army of the Dead"" team dive into the movie\'s stunts, groundbreaking effects and the evolution of the zombie genre."
s856,Jurassic World Camp Cretaceous,89%,English," Adventure, Science fiction, Action fiction",Teens attending an adventure camp on the opposite side of Isla Nublar must band together to survive when dinosaurs wreak havoc on the island.
s858,The Neighbor,60%,,,"A middle-aged man, Mike, feels trapped in a stagnant, unhappy marriage. When an attractive young woman and her husband move in next door, Mike becomes obsessed with them, believing the husband to be abusive and violent."
s862,Little Singham Future mein Satakli,,,,
s863,Special,84%,,,"Actor-writer Ryan O\'Connell stars in this semi-autobiographical series based on his memoir. He plays Ryan, a gay man with cerebral palsy who decides to do away with his identity as an accident victim and go after the life that he wants. After years of dead-end internships, blogging in his pajamas and mainly communicating through text, Ryan figures out how to take his life from bleak to chic as he gets ready to start limping toward adulthood. O\'Connell serves as an executive producer on the comedy series, along with ""The Big Bang Theory"" star Jim Parsons.â€¦\xa0MORE"
s870,Who Killed Sara?,88%,Spanish," Thriller, Melodrama, Mystery, Crime film","After being framed for his sister's murder, Alex is hell-bent on exacting revenge and finding the real culprit."
s871,Amy Tan: Unintended Memoir,84%,,,"From her painful past to her successful career after The Joy Luck Club, groundbreaking writer Amy Tan shares her life story."
s872,Sardar Ka Grandson,59%,Hindi,,"When Amreek discovers that his grandmother, Sardar Kaur, is ill, he immediately comes home from Los Angeles. He then tries to help her reunite with her old home."
